inspection_id,container_no_raw,inspection_time,facility,damage_code,component,severity,estimated_cost,currency,inspector_id,photo_ref,remarks,source
INSP5088612,PONU1610866,2025-12-28T09:41:00.000000,CT03-Depot,H1,SIDE,MAJOR,286.98,USD,EMP939,img_9134.jpg,,mobile_app
INSP2140635,PONU1610866,2026-01-15T19:42:00.000000,CT02-C-20-4,FL,SIDE,NO_DEFECT,166.14,USD,EMP884,img_8697.jpg,Bent frame,tablet
INSP6363894,TCNU8727697,2025-12-17T15:43:18.945634,CT01-B-05-2,H1,FLOOR,NO_DEFECT,191.47,USD,EMP406,img_4455.jpg,,mobile_app
INSP4000788,TCNU8727697,2025-12-22T13:19:18.421844,CT01-B-05-2,BR,FLOOR,MINOR,,USD,EMP199,img_4971.jpg,,tablet
INSP7999352,TCNU8727697,2025-12-26T03:43:00.000000,CT01-B-05-2,D1,SIDE,MAJOR,112.55,USD,EMP340,img_1327.jpg,Scratches,mobile_app
INSP8012923,TCNU8727697,2025-12-25T21:18:07.427976,CT03-Depot,BR,DOOR,MINOR,158.99,USD,EMP341,img_7831.jpg,Scratches,mobile_app
INSP2382208,TCNU1921485,2026-01-17T18:42:00.000000,CT01-B-05-2,H1,ROOF,MINOR,295.65,USD,EMP476,img_4172.jpg,,tablet
INSP5198252,TCNU1921485,2026-01-20T22:31:00.000000,CT04-Terminal,H1,SIDE,MINOR,169.36,USD,EMP444,img_9407.jpg,Bent frame,paper_form
INSP9520906,TCNU1921485,2026-01-19T21:51:40.557218,CT03-Depot,BR,DOOR,CRITICAL,119.11,USD,EMP944,img_9075.jpg,Hole found,mobile_app
INSP5887664,PONU1800001,2026-01-24T11:29:00.000000,CT01-Yard-A,H1,FRAME,MINOR,444.47,USD,EMP387,img_3526.jpg,Hole found,tablet
INSP7147975,PONU1800001,2025-12-29T04:03:00.000000,CT01-A-12-1,D2,DOOR,CRITICAL,195.27,USD,EMP205,img_2463.jpg,Bent frame,mobile_app
INSP4642014,PONU9686529,2026-01-17T02:43:00.000000,CT01-A-12-1,SC,SIDE,MINOR,325.97,USD,EMP912,img_7571.jpg,Scratches,paper_form
INSP1947326,PONU9686529,2026-01-17T02:43:00.000000,CT01-A-12-1,H1,SIDE,MAJOR,273.09,USD,EMP119,img_3937.jpg,Hole found,tablet
INSP2086401,TCNU9461457,2025-12-30T06:23:00.000000,CT01-B-05-2,H1,FLOOR,NO_DEFECT,451.8,USD,EMP795,img_5468.jpg,Scratches,paper_form
INSP4136144,TCNU9461457,2026-01-25T07:51:00.000000,CT01-A-12-1,FL,FRAME,CRITICAL,259.82,USD,EMP903,img_6098.jpg,Hole found,mobile_app
INSP2761653,PONU9269793,2026-01-14T10:07:00.000000,CT01-A-12-1,D2,FLOOR,NO_DEFECT,412.26,USD,EMP207,img_1362.jpg,,paper_form
INSP9926900,PONU9269793,2026-01-14T06:30:07.177312,CT01-Yard-A,FL,DOOR,MINOR,316.36,USD,EMP399,img_9305.jpg,Bent frame,mobile_app
INSP5446855,PONU9269793,2026-01-14T08:10:04.780206,CT04-Terminal,D1,FRAME,NO_DEFECT,336.24,USD,EMP236,img_7051.jpg,Scratches,tablet
INSP7154139,PONU9269793,2026-01-14T00:02:04.997276,CT04-B-10-3,BR,SIDE,CRITICAL,397.67,USD,EMP471,img_1869.jpg,Bent frame,paper_form
INSP3420749,PONU9269793,2026-01-14T01:15:25.144695,CT02-Yard-B,BR,DOOR,NO_DEFECT,211.91,USD,EMP518,img_4945.jpg,,paper_form
INSP8766202,PONU9269793,2026-01-13T17:25:58.237765,CT01-B-05-2,D1,ROOF,MAJOR,277.11,USD,EMP706,img_5285.jpg,Hole found,paper_form
INSP1593923,MSCU7987998,2026-01-23T09:05:00.000000,CT01-Yard-A,FL,DOOR,MINOR,217.02,USD,EMP992,img_1350.jpg,,tablet
INSP1778992,MSCU7987998,2026-01-23T09:05:00.000000,CT01-B-05-2,D1,SIDE,MINOR,340.75,USD,EMP426,img_5536.jpg,Scratches,mobile_app
INSP4603012,CXDU2772188,2026-01-23T06:31:00.000000,CT01-B-05-2,FL,FLOOR,MAJOR,365.35,USD,EMP763,img_9079.jpg,,mobile_app
INSP4031373,CXDU2772188,2026-01-23T06:31:00.000000,CT03-A-01-1,SC,FLOOR,MINOR,121.13,USD,EMP624,img_7865.jpg,,mobile_app
INSP6849330,CXDU2772188,2026-01-21T15:44:49.586402,CT03-Depot,D1,SIDE,MAJOR,131.57,USD,EMP486,img_6759.jpg,,paper_form
INSP7238590,MSCU2827327,2026-01-11T08:41:00.000000,CT03-Depot,D1,DOOR,MAJOR,,USD,EMP505,img_8844.jpg,,paper_form
INSP3427051,MSCU2827327,2026-01-11T08:41:00.000000,CT03-A-01-1,BR,FRAME,NO_DEFECT,,USD,EMP300,img_7001.jpg,Scratches,paper_form
INSP8453411,MSCU2827327,2026-01-07T21:43:00.000000,CT04-B-10-3,D2,DOOR,CRITICAL,355.1,USD,EMP504,img_7015.jpg,,mobile_app
INSP7296470,TCNU9361752,2025-12-31T21:22:57.657056,CT01-A-12-1,D1,DOOR,MINOR,154.31,USD,EMP208,img_4648.jpg,Hole found,paper_form
INSP2106741,TCNU9361752,2025-12-31T16:12:25.843373,CT03-Depot,H1,FLOOR,CRITICAL,438.08,USD,EMP277,img_4878.jpg,,paper_form
INSP7191246,TCNU9361752,2025-12-31T23:47:00.000000,CT04-Terminal,SC,FRAME,NO_DEFECT,421.48,USD,EMP194,img_4683.jpg,Hole found,mobile_app
INSP6811459,TCNU9361752,2025-12-31T07:47:43.914894,CT01-Yard-A,FL,ROOF,NO_DEFECT,409.08,USD,EMP992,img_6552.jpg,,paper_form
INSP9296764,TCNU8283105,2026-01-17T22:38:00.000000,CT04-B-10-3,D2,ROOF,NO_DEFECT,281.35,USD,EMP872,img_9604.jpg,Scratches,mobile_app
INSP7542221,TCNU8283105,2026-01-12T15:19:00.000000,CT02-Yard-B,SC,DOOR,MAJOR,365.16,USD,EMP777,img_2788.jpg,Bent frame,mobile_app
INSP7616736,TCNU8283105,2026-01-15T07:02:06.709219,CT03-A-01-1,FL,FLOOR,CRITICAL,109.3,USD,EMP531,img_4204.jpg,,mobile_app
INSP5733204,HLCU1745162,2026-01-20T00:05:00.000000,CT01-B-05-2,FL,DOOR,CRITICAL,271.61,USD,EMP531,img_5647.jpg,Bent frame,paper_form
INSP5880418,HLCU1745162,2026-01-20T00:05:00.000000,CT01-A-12-1,H1,DOOR,NO_DEFECT,73.83,USD,EMP430,img_4181.jpg,,paper_form
INSP3709453,PONU3303335,2025-12-23T07:16:00.000000,CT01-A-12-1,D2,SIDE,MINOR,193.9,USD,EMP674,img_6909.jpg,,tablet
INSP2191915,PONU3303335,2025-12-23T07:17:00.000000,CT03-Depot,BR,DOOR,MAJOR,61.75,USD,EMP654,img_5653.jpg,Scratches,paper_form
INSP3976739,PONU3303335,2025-12-23T07:16:57.018024,CT02-Yard-B,H1,FRAME,MAJOR,316.52,USD,EMP563,img_6153.jpg,Bent frame,paper_form
INSP7156137,TCNU4209224,2025-12-29T18:40:00.000000,CT01-Yard-A,H1,DOOR,MINOR,432.77,USD,EMP439,img_4552.jpg,,paper_form
INSP8552699,TCNU4209224,2026-01-04T06:02:00.000000,CT01-A-12-1,D1,ROOF,MAJOR,405.08,USD,EMP291,img_2593.jpg,,tablet
INSP5174145,PONU8084881,2025-12-20T11:01:26.230034,CT04-Terminal,H1,ROOF,CRITICAL,288,USD,EMP430,img_8532.jpg,Scratches,tablet
INSP7753223,PONU8084881,2025-12-21T08:37:00.000000,CT01-Yard-A,H1,FLOOR,NO_DEFECT,472.47,USD,EMP495,img_1816.jpg,Scratches,paper_form
INSP5209252,PONU8084881,2025-12-16T11:58:00.000000,CT02-C-20-4,BR,DOOR,MAJOR,207.31,USD,EMP325,img_4378.jpg,Bent frame,mobile_app
INSP2560559,PONU8084881,2025-12-19T19:14:00.730800,CT02-Yard-B,D2,SIDE,NO_DEFECT,497.05,USD,EMP243,img_7736.jpg,Bent frame,mobile_app
INSP5104107,PONU8084881,2025-12-20T14:48:05.045583,CT02-Yard-B,D1,FRAME,CRITICAL,250.98,USD,EMP539,img_6638.jpg,,mobile_app
INSP9176223,HLCU7869362,2026-01-17T19:03:00.000000,CT02-Yard-B,D2,DOOR,CRITICAL,270.7,USD,EMP920,img_6282.jpg,,tablet
INSP3441550,HLCU7869362,2026-01-18T12:24:00.000000,CT03-Depot,D2,DOOR,NO_DEFECT,321.65,USD,EMP467,img_5672.jpg,Scratches,mobile_app
INSP7714632,PONU6194102,2026-01-16T04:09:00.000000,CT04-B-10-3,BR,FRAME,MAJOR,480.56,USD,EMP837,img_1582.jpg,Scratches,paper_form
INSP1096936,PONU6194102,2026-01-16T04:09:00.000000,CT03-Depot,D1,FRAME,NO_DEFECT,123.86,USD,EMP118,img_6469.jpg,Hole found,mobile_app
INSP1946545,PONU6194102,2026-01-16T01:15:53.539700,CT01-B-05-2,D2,FLOOR,NO_DEFECT,405.44,USD,EMP791,img_8871.jpg,Hole found,tablet
INSP3585503,TCNU8636357,2026-01-22T00:37:00.000000,CT02-Yard-B,FL,SIDE,CRITICAL,240.89,USD,EMP605,img_9150.jpg,Bent frame,mobile_app
INSP1962706,TCNU8636357,2026-01-14T14:54:00.000000,CT01-Yard-A,D2,FRAME,NO_DEFECT,323.77,USD,EMP177,img_1921.jpg,Bent frame,tablet
INSP6740903,TCNU8636357,2026-01-15T20:37:58.908409,CT01-Yard-A,D2,DOOR,NO_DEFECT,348,USD,EMP822,img_6895.jpg,Scratches,mobile_app
INSP9064304,PONU7951958,2026-01-24T13:06:00.000000,CT02-C-20-4,D2,ROOF,MAJOR,117.5,USD,EMP459,img_4804.jpg,Hole found,tablet
INSP6316922,PONU7951958,2026-01-24T13:06:00.000000,CT02-C-20-4,SC,FLOOR,MINOR,142.57,USD,EMP260,img_2835.jpg,,tablet
INSP5802071,MSCU5708021,2026-01-08T08:36:00.000000,CT01-Yard-A,H1,DOOR,NO_DEFECT,183.54,USD,EMP578,img_4675.jpg,Bent frame,paper_form
INSP1222309,MSCU5708021,2026-01-08T08:36:00.000000,CT03-A-01-1,D2,FLOOR,NO_DEFECT,210.8,USD,EMP141,img_8444.jpg,,paper_form
INSP2276899,MSCU5708021,2026-01-08T08:35:41.858340,CT02-Yard-B,D2,DOOR,MINOR,241.41,USD,EMP763,img_3115.jpg,Hole found,tablet
INSP5409163,MSCU5708021,2026-01-08T08:35:39.793085,CT01-Yard-A,SC,ROOF,CRITICAL,116.34,USD,EMP909,img_5860.jpg,Bent frame,tablet
INSP1749281,PONU9717639,2026-01-21T15:09:00.000000,CT01-B-05-2,BR,FRAME,CRITICAL,68.41,USD,EMP120,img_9631.jpg,Hole found,tablet
INSP4253377,PONU9717639,2026-01-22T08:50:00.000000,CT04-B-10-3,SC,SIDE,NO_DEFECT,59.08,USD,EMP797,img_2740.jpg,,paper_form
INSP9664964,HLCU2022935,2025-12-24T01:28:00.000000,CT01-Yard-A,SC,DOOR,MINOR,401.99,USD,EMP723,img_5135.jpg,Scratches,mobile_app
INSP6132120,HLCU2022935,2025-12-26T09:07:10.855557,CT04-B-10-3,H1,ROOF,NO_DEFECT,169.3,USD,EMP280,img_1688.jpg,Bent frame,tablet
INSP1488798,HLCU2022935,2025-12-28T21:48:05.379990,CT04-Terminal,BR,FRAME,CRITICAL,190.07,USD,EMP879,img_6214.jpg,Scratches,paper_form
INSP6013569,HLCU2022935,2025-12-30T02:53:00.000000,CT03-Depot,H1,SIDE,MAJOR,53.5,USD,EMP481,img_9034.jpg,Hole found,tablet
INSP6710101,HLCU2022935,2025-12-29T12:40:16.287960,CT03-Depot,FL,SIDE,MINOR,379.16,USD,EMP922,img_6897.jpg,Hole found,paper_form
INSP8951468,HLCU2022935,2025-12-25T10:52:02.793278,CT03-Depot,D2,FLOOR,MINOR,165.59,USD,EMP957,img_3294.jpg,Bent frame,mobile_app
INSP5024076,CXDU4961522,2026-01-11T14:34:00.000000,CT01-A-12-1,FL,FRAME,MINOR,205.65,USD,EMP318,img_8090.jpg,Scratches,tablet
INSP1491536,CXDU4961522,2026-01-10T11:24:22.320432,CT04-Terminal,BR,ROOF,CRITICAL,418.64,USD,EMP102,img_9401.jpg,Scratches,mobile_app
INSP8774759,CXDU4961522,2026-01-10T19:22:42.050062,CT04-Terminal,H1,ROOF,CRITICAL,166.7,USD,EMP115,img_8670.jpg,Scratches,tablet
INSP8623507,CXDU5087507,2025-12-22T12:52:00.000000,CT03-Depot,D2,ROOF,MINOR,483.55,USD,EMP214,img_7443.jpg,,tablet
INSP8330159,CXDU5087507,2025-12-22T12:52:00.000000,CT01-B-05-2,H1,SIDE,NO_DEFECT,418.19,USD,EMP699,img_8165.jpg,Scratches,paper_form
INSP9298273,PONU1493758,2026-01-07T05:07:00.000000,CT04-B-10-3,D2,SIDE,CRITICAL,306.24,USD,EMP624,img_3134.jpg,Hole found,paper_form
INSP2602962,PONU1493758,2026-01-05T10:27:00.000000,CT01-A-12-1,H1,DOOR,CRITICAL,61.88,USD,EMP259,img_9545.jpg,Bent frame,mobile_app
INSP8473017,PONU1493758,2026-01-06T20:54:20.677966,CT01-Yard-A,D2,FLOOR,NO_DEFECT,499.41,USD,EMP938,img_7681.jpg,Bent frame,paper_form
INSP6654754,HLCU2196270,2026-01-12T07:10:00.000000,CT01-A-12-1,BR,FLOOR,MINOR,255.87,USD,EMP211,img_5190.jpg,Scratches,tablet
INSP3052680,HLCU2196270,2026-01-17T17:11:00.000000,CT01-Yard-A,SC,SIDE,NO_DEFECT,495.34,USD,EMP936,img_9423.jpg,Hole found,tablet
INSP2994814,HLCU2196270,2026-01-14T07:11:48.944632,CT01-A-12-1,H1,ROOF,MINOR,367.83,USD,EMP156,img_8236.jpg,Bent frame,mobile_app
INSP8417073,HLCU2196270,2026-01-14T15:57:10.273446,CT03-A-01-1,FL,FRAME,MINOR,344.98,USD,EMP571,img_3384.jpg,Bent frame,tablet
INSP5453519,CXDU3800520,2026-01-11T07:16:00.000000,CT01-Yard-A,FL,SIDE,NO_DEFECT,373.47,USD,EMP904,img_8940.jpg,,mobile_app
INSP9194990,CXDU3800520,2026-01-11T07:16:00.000000,CT03-A-01-1,H1,DOOR,NO_DEFECT,63.3,USD,EMP495,img_7228.jpg,Hole found,paper_form
INSP6849405,CXDU6421056,2026-01-08T06:33:00.000000,CT04-Terminal,SC,DOOR,CRITICAL,482.06,USD,EMP666,img_2543.jpg,,paper_form
INSP8283934,CXDU6421056,2026-01-09T11:04:00.000000,CT02-Yard-B,BR,FRAME,MINOR,361.78,USD,EMP113,img_2988.jpg,Scratches,paper_form
INSP7330914,CXDU9622416,2026-01-12T17:08:00.000000,CT03-A-01-1,FL,DOOR,MAJOR,254.97,USD,EMP540,img_7013.jpg,,paper_form
INSP8494813,CXDU9622416,2026-01-10T22:03:00.000000,CT03-Depot,BR,FRAME,MAJOR,229.07,USD,EMP837,img_4871.jpg,Hole found,tablet
INSP7560912,MSCU7963722,2026-01-14T20:25:00.000000,CT01-Yard-A,H1,FRAME,MAJOR,342.08,USD,EMP286,img_8018.jpg,,paper_form
INSP3300729,MSCU7963722,2026-01-13T10:19:00.000000,CT01-B-05-2,H1,FLOOR,MAJOR,204.53,USD,EMP369,img_9910.jpg,Bent frame,paper_form
INSP5761105,HLCU4429645,2026-01-01T10:57:00.000000,CT01-A-12-1,H1,ROOF,MAJOR,239.34,USD,EMP127,img_3009.jpg,Hole found,tablet
INSP1202781,HLCU4429645,2025-12-23T22:23:12.937552,CT01-Yard-A,SC,FRAME,CRITICAL,178.87,USD,EMP303,img_4142.jpg,,tablet
INSP3717888,HLCU4429645,2025-12-23T01:46:00.000000,CT02-C-20-4,D1,FLOOR,NO_DEFECT,191.3,USD,EMP633,img_5401.jpg,,tablet
INSP2713901,HLCU1924656,2026-01-12T15:42:00.000000,CT01-A-12-1,H1,ROOF,CRITICAL,117.76,USD,EMP220,img_6846.jpg,,mobile_app
INSP9556844,HLCU1924656,2026-01-13T22:24:00.000000,CT02-Yard-B,FL,ROOF,MAJOR,404.51,USD,EMP771,img_3018.jpg,,tablet
INSP5370310,HLCU4981118,2026-01-14T05:32:00.000000,CT04-B-10-3,SC,FLOOR,MINOR,,USD,EMP556,img_7128.jpg,,paper_form
INSP7794269,HLCU4981118,2026-01-12T16:29:40.709357,CT04-Terminal,H1,DOOR,MAJOR,,USD,EMP992,img_2194.jpg,,paper_form
INSP8592886,HLCU4981118,2026-01-09T05:50:19.315278,CT03-A-01-1,BR,SIDE,MAJOR,377.77,USD,EMP231,img_7691.jpg,Bent frame,paper_form
INSP1891546,HLCU4981118,2026-01-11T22:59:41.408277,CT04-B-10-3,D2,SIDE,NO_DEFECT,162.63,USD,EMP687,img_6196.jpg,Hole found,mobile_app
INSP1015852,MSCU1331001,2026-01-07T12:42:00.000000,CT01-Yard-A,D1,DOOR,MAJOR,120.32,USD,EMP920,img_9438.jpg,Hole found,paper_form
INSP1672845,MSCU1331001,2025-12-29T17:49:00.000000,CT04-B-10-3,D2,ROOF,NO_DEFECT,86.98,USD,EMP656,img_3779.jpg,Scratches,paper_form
INSP9810064,CXDU3949630,2026-01-22T08:24:51.317829,CT02-C-20-4,FL,DOOR,NO_DEFECT,423.31,USD,EMP616,img_2885.jpg,,tablet
INSP4965882,CXDU3949630,2026-01-22T09:56:42.034090,CT02-C-20-4,D1,ROOF,CRITICAL,269.06,USD,EMP102,img_8772.jpg,,paper_form
INSP6033088,CXDU3949630,2026-01-22T12:29:00.000000,CT03-A-01-1,FL,ROOF,CRITICAL,,USD,EMP762,img_6055.jpg,Hole found,mobile_app
INSP9727918,CXDU3949630,2026-01-19T08:07:00.000000,CT02-C-20-4,D2,SIDE,CRITICAL,286.36,USD,EMP162,img_5292.jpg,,paper_form
INSP6967606,CXDU3949630,2026-01-22T01:46:55.762273,CT02-Yard-B,SC,FLOOR,MINOR,169.73,USD,EMP948,img_3209.jpg,,mobile_app
INSP6035568,PONU7957299,2026-01-25T11:05:00.000000,CT01-A-12-1,SC,SIDE,MAJOR,74.24,USD,EMP341,img_4022.jpg,Hole found,mobile_app
INSP7671163,PONU7957299,2026-01-25T11:05:00.000000,CT01-B-05-2,BR,SIDE,CRITICAL,84.04,USD,EMP193,img_8019.jpg,Bent frame,tablet
INSP6831134,HLCU7187363,2026-01-13T09:02:00.000000,CT02-C-20-4,BR,SIDE,MAJOR,358.69,USD,EMP871,img_1360.jpg,,tablet
INSP5180831,HLCU7187363,2025-12-22T22:49:00.000000,CT04-Terminal,H1,FRAME,MAJOR,212.3,USD,EMP797,img_5244.jpg,,paper_form
INSP3605297,MSCU2602116,2026-01-25T19:38:00.000000,CT01-Yard-A,BR,SIDE,MAJOR,249.32,USD,EMP516,img_9996.jpg,Scratches,paper_form
INSP4661955,MSCU2602116,2026-01-07T15:03:00.000000,CT04-Terminal,SC,FLOOR,MINOR,243.27,USD,EMP120,img_5584.jpg,Scratches,mobile_app
INSP2174985,TCNU9407295,2026-01-13T18:03:00.000000,CT01-A-12-1,FL,FLOOR,CRITICAL,338.11,USD,EMP823,img_3087.jpg,Bent frame,tablet
INSP6706841,TCNU9407295,2026-01-15T14:52:00.000000,CT01-B-05-2,H1,FRAME,MINOR,,USD,EMP730,img_1038.jpg,,mobile_app
INSP1160325,TCNU9407295,2026-01-15T14:52:00.000000,CT04-Terminal,FL,FRAME,MAJOR,316.24,USD,EMP800,img_4091.jpg,,mobile_app
INSP2320168,TCNU2836191,2026-01-08T01:54:00.000000,CT02-Yard-B,SC,DOOR,MINOR,467.32,USD,EMP551,img_1112.jpg,,mobile_app
INSP1751750,TCNU2836191,2026-01-14T09:11:00.000000,CT02-Yard-B,D1,FRAME,MAJOR,383.04,USD,EMP886,img_2309.jpg,,tablet
INSP4228790,HLCU3838904,2026-01-08T20:23:00.000000,CT04-Terminal,D1,FLOOR,MINOR,470.3,USD,EMP667,img_5171.jpg,Scratches,tablet
INSP1248713,HLCU3838904,2025-12-29T07:50:11.568312,CT01-Yard-A,SC,FRAME,CRITICAL,96.15,USD,EMP991,img_1059.jpg,,tablet
INSP4975191,HLCU3838904,2026-01-04T12:39:32.729533,CT03-A-01-1,FL,FRAME,CRITICAL,245.41,USD,EMP756,img_6766.jpg,,tablet
INSP2497123,MSCU4626656,2026-01-09T20:32:00.000000,CT03-Depot,D2,ROOF,CRITICAL,211.91,USD,EMP611,img_3419.jpg,,tablet
INSP4271483,MSCU4626656,2026-01-10T17:02:50.939409,CT03-A-01-1,D1,FRAME,MINOR,235.67,USD,EMP148,img_3161.jpg,,paper_form
INSP8234943,MSCU4626656,2026-01-10T20:05:00.000000,CT01-B-05-2,FL,FRAME,CRITICAL,319.18,USD,EMP401,img_6392.jpg,Scratches,tablet
INSP8456616,HLCU5738717,2026-01-07T23:44:00.000000,CT01-A-12-1,D1,ROOF,MINOR,232.21,USD,EMP858,img_9706.jpg,Hole found,paper_form
INSP2517949,HLCU5738717,2025-12-29T17:42:00.000000,CT01-B-05-2,D2,FRAME,MAJOR,,USD,EMP233,img_6256.jpg,Scratches,mobile_app
INSP5647638,CXDU8984388,2026-01-08T01:26:11.823609,CT01-A-12-1,SC,FLOOR,NO_DEFECT,134,USD,EMP970,img_4314.jpg,,paper_form
INSP8224099,CXDU8984388,2026-01-09T14:05:34.182511,CT03-A-01-1,SC,FRAME,CRITICAL,236.77,USD,EMP936,img_3743.jpg,Hole found,mobile_app
INSP8366595,CXDU8984388,2026-01-09T22:28:08.443285,CT02-Yard-B,BR,FLOOR,MAJOR,230.13,USD,EMP132,img_5238.jpg,Scratches,tablet
INSP6065591,CXDU8984388,2026-01-10T01:13:00.000000,CT01-A-12-1,SC,SIDE,MINOR,101.25,USD,EMP770,img_1284.jpg,Scratches,tablet
INSP2530247,CXDU8984388,2026-01-10T01:13:00.000000,CT01-B-05-2,D2,SIDE,MAJOR,196.71,USD,EMP492,img_8261.jpg,Scratches,paper_form
INSP1218829,CXDU3836735,2026-01-17T13:42:00.000000,CT03-Depot,D1,SIDE,NO_DEFECT,178.13,USD,EMP963,img_4198.jpg,Hole found,paper_form
INSP6742361,CXDU3836735,2026-01-17T13:42:00.000000,CT04-Terminal,D1,FLOOR,CRITICAL,247.37,USD,EMP620,img_5575.jpg,Hole found,mobile_app
INSP7075591,TCNU4663897,2026-01-08T20:22:32.185212,CT01-A-12-1,H1,ROOF,CRITICAL,265.37,USD,EMP370,img_8573.jpg,Hole found,tablet
INSP4532383,TCNU4663897,2026-01-13T21:16:00.000000,CT02-C-20-4,D1,SIDE,MINOR,322.11,USD,EMP197,img_3862.jpg,Hole found,paper_form
INSP6303027,TCNU4663897,2025-12-27T12:31:00.000000,CT03-Depot,H1,FLOOR,NO_DEFECT,177.48,USD,EMP913,img_4485.jpg,Hole found,paper_form
INSP5267899,TCNU2033667,2025-12-31T07:43:12.551878,CT03-A-01-1,D2,FRAME,CRITICAL,223.56,USD,EMP813,img_7933.jpg,,tablet
INSP2976430,TCNU2033667,2026-01-01T03:10:00.000000,CT02-Yard-B,H1,SIDE,MINOR,169.21,USD,EMP648,img_4421.jpg,Hole found,paper_form
INSP5857812,TCNU2033667,2026-01-01T03:10:00.000000,CT01-B-05-2,D1,FLOOR,CRITICAL,74.23,USD,EMP122,img_3147.jpg,Hole found,tablet
INSP5271401,TCNU2033667,2025-12-31T11:58:15.796912,CT02-C-20-4,FL,ROOF,MINOR,,USD,EMP244,img_8493.jpg,,paper_form
INSP6452433,TCNU2033667,2026-01-01T01:42:33.531709,CT01-B-05-2,D2,FLOOR,MINOR,121.23,USD,EMP646,img_6277.jpg,Scratches,mobile_app
