"event_type","event_time","container_no_raw","type_raw","remark_raw","cost","currency","facility","source_file","source_row"
"CLEANING","2025-12-26T00:48:09.100000","CXDU4028729","STEAM","","98.39","USD","CT01-Yard-A","cleaning_log_2024.csv","21463"
"CLEANING","2025-12-30T00:37:34.100000","CXDU4028729","CHEMICAL","DIRTY FLOOR","119.36","USD","CT01-A-12-1","cleaning_log_2024.csv","17461"
"CLEANING","2026-01-19T00:26:32.000000","CXDU4028729","CHEMICAL","","113.41","USD","CT04-B-10-3","cleaning_log_2024.csv","11"
"CLEANING","2026-01-23T00:12:08.800000","CXDU1562237","STEAM","","52.09","USD","CT02-C-20-4","cleaning_log_2024.csv","13"
"CLEANING","2025-12-30T04:30:00.000000","PONU4441893","WATER","DIRTY FLOOR","78.95","USD","CT01-Yard-A","cleaning_log_2024.csv","20513"
"CLEANING","2025-12-30T04:29:00.000000","PONU4441893","SWEEP","ODOR","36.31","USD","CT03-A-01-1","cleaning_log_2024.csv","14"
"CLEANING","2025-12-18T00:58:40.200000","MSCU6276680","CHEMICAL","ODOR","79.48","USD","CT03-Depot","cleaning_log_2024.csv","22012"
"CLEANING","2025-12-18T00:53:01.800000","MSCU6276680","SWEEP","","42.09","USD","CT01-A-12-1","cleaning_log_2024.csv","8117"
"CLEANING","2025-12-22T00:02:24.200000","MSCU6276680","SWEEP","OIL STAIN","88.61","USD","CT02-Yard-B","cleaning_log_2024.csv","15"
"CLEANING","2026-01-05T00:16:13.100000","CXDU9536475","SWEEP","DIRTY FLOOR","-44.48","USD","CT02-C-20-4","cleaning_log_2024.csv","6947"
"CLEANING","2026-01-05T00:07:24.200000","CXDU9536475","STEAM","","59.05","USD","CT03-Depot","cleaning_log_2024.csv","18"
"CLEANING","2026-01-15T00:16:11.200000","TCNU5271755","STEAM","ODOR","32.77","USD","CT01-A-12-1","cleaning_log_2024.csv","19"
"CLEANING","2026-01-16T00:57:22.100000","TCNU5271755","CHEMICAL","","62.9","USD","CT02-Yard-B","cleaning_log_2024.csv","2710"
"CLEANING","2026-01-07T00:14:40.400000","CXDU2167682","WATER","ODOR","63.86","USD","CT03-Depot","cleaning_log_2024.csv","11553"
"CLEANING","2026-01-07T00:45:20.300000","CXDU2167682","WATER","DIRTY FLOOR","110.59","USD","CT03-A-01-1","cleaning_log_2024.csv","21"
"CLEANING","2026-01-10T00:21:48.900000","CXDU2167682","SWEEP","ODOR","95.75","USD","CT01-A-12-1","cleaning_log_2024.csv","20449"
"CLEANING","2026-01-16T00:31:41.300000","HLCU7353896","STEAM","DIRTY FLOOR","44.64","USD","CT02-Yard-B","cleaning_log_2024.csv","187"
"CLEANING","2026-01-20T00:24:49.800000","HLCU7353896","WATER","","72.35","USD","CT01-Yard-A","cleaning_log_2024.csv","23"
"CLEANING","2026-01-03T00:10:21.600000","PONU5438359","STEAM","ODOR","High","USD","CT02-Yard-B","cleaning_log_2024.csv","17897"
"CLEANING","2026-01-04T00:54:36.300000","PONU5438359","SWEEP","ODOR","110.31","USD","CT02-Yard-B","cleaning_log_2024.csv","24"
"CLEANING","2026-01-04T00:49:47.500000","PONU5438359","SWEEP","DIRTY FLOOR","63.55","USD","CT03-A-01-1","cleaning_log_2024.csv","18651"
"CLEANING","2025-12-28T00:30:43.900000","CXDU6905090","WATER","OIL STAIN","80.98","USD","CT02-C-20-4","cleaning_log_2024.csv","18707"
"CLEANING","2026-01-01T00:48:32.800000","CXDU6905090","STEAM","DIRTY FLOOR","107.25","USD","CT01-A-12-1","cleaning_log_2024.csv","11555"
"CLEANING","2026-01-05T00:46:20.700000","CXDU6905090","SWEEP","OIL STAIN","30.89","USD","CT01-A-12-1","cleaning_log_2024.csv","25"
"CLEANING","2026-01-03T00:43:30.400000","MSCU4230514","WATER","DIRTY FLOOR","55.47","USD","CT01-Yard-A","cleaning_log_2024.csv","26"
"CLEANING","2026-01-07T00:58:47.900000","MSCU4230514","SWEEP","","37.98","USD","CT01-Yard-A","cleaning_log_2024.csv","426"
"CLEANING","2026-01-13T00:33:13.300000","MSCU4230514","CHEMICAL","","36.19","USD","CT02-C-20-4","cleaning_log_2024.csv","4905"
"CLEANING","2026-01-15T00:37:21.000000","MSCU6014993","STEAM","OIL STAIN","35.46","USD","CT02-Yard-B","cleaning_log_2024.csv","28"
"CLEANING","2025-12-31T00:05:44.900000","PONU7848393","WATER","DIRTY FLOOR","44.42","USD","CT03-Depot","cleaning_log_2024.csv","29"
"CLEANING","2026-01-01T00:33:51.700000","PONU7848393","SWEEP","DIRTY FLOOR","High","USD","CT01-A-12-1","cleaning_log_2024.csv","18893"
"CLEANING","2026-01-18T13:19:00.000000","PONU3929598","STEAM","","64.15","USD","CT03-A-01-1","cleaning_log_2024.csv","31"
"CLEANING","2026-01-18T13:20:00.000000","PONU3929598","STEAM","","51.66","USD","CT02-Yard-B","cleaning_log_2024.csv","4861"
"CLEANING","2026-01-05T00:28:38.700000","CXDU6214500","SWEEP","ODOR","18.83","USD","CT02-Yard-B","cleaning_log_2024.csv","32"
"CLEANING","2026-01-05T00:02:19.700000","CXDU6214500","WATER","DIRTY FLOOR","45.93","USD","CT01-Yard-A","cleaning_log_2024.csv","15336"
"CLEANING","2026-01-05T00:55:48.500000","CXDU6214500","SWEEP","","93.17","USD","CT03-A-01-1","cleaning_log_2024.csv","9890"
"CLEANING","2026-01-06T00:59:36.200000","CXDU6214500","SWEEP","","45.62","USD","CT04-B-10-3","cleaning_log_2024.csv","9309"
"CLEANING","2026-01-06T00:03:23.400000","PONU2024168","SWEEP","OIL STAIN","29.97","USD","CT04-Terminal","cleaning_log_2024.csv","35"
"CLEANING","2026-01-06T00:10:40.500000","PONU2024168","WATER","DIRTY FLOOR","118.91","USD","CT01-A-12-1","cleaning_log_2024.csv","21514"
"CLEANING","2026-01-04T00:04:54.200000","TCNU6224041","WATER","","113.7","USD","CT01-B-05-2","cleaning_log_2024.csv","36"
"CLEANING","2026-01-18T00:32:55.600000","CXDU7232516","STEAM","OIL STAIN","73.35","USD","CT01-Yard-A","cleaning_log_2024.csv","37"
"CLEANING","2026-01-21T00:06:23.300000","CXDU7232516","SWEEP","DIRTY FLOOR","112.73","USD","CT03-A-01-1","cleaning_log_2024.csv","8641"
"CLEANING","2026-01-06T00:00:46.100000","MSCU2581127","SWEEP","OIL STAIN","89.19","USD","CT04-B-10-3","cleaning_log_2024.csv","5495"
"CLEANING","2026-01-06T00:40:23.800000","MSCU2581127","CHEMICAL","","102.48","USD","CT04-Terminal","cleaning_log_2024.csv","3862"
"CLEANING","2026-01-06T00:05:14.600000","MSCU2581127","STEAM","","27.74","USD","CT03-Depot","cleaning_log_2024.csv","38"
"CLEANING","2025-12-19T00:21:54.700000","PONU7100509","WATER","DIRTY FLOOR","65.63","USD","CT03-A-01-1","cleaning_log_2024.csv","39"
"CLEANING","2025-12-24T00:17:42.600000","PONU7100509","CHEMICAL","","57.48","USD","CT01-Yard-A","cleaning_log_2024.csv","2499"
"CLEANING","2025-12-27T00:26:23.800000","PONU7100509","SWEEP","DIRTY FLOOR","87.51","USD","CT01-B-05-2","cleaning_log_2024.csv","6330"
"CLEANING","2025-12-25T00:29:53.500000","HLCU9996757","STEAM","ODOR","35.22","USD","CT03-Depot","cleaning_log_2024.csv","41"
"CLEANING","2026-01-12T00:08:33.700000","PONU9013535","STEAM","ODOR","53.38","USD","CT01-B-05-2","cleaning_log_2024.csv","44"
"CLEANING","2026-01-21T00:11:46.900000","CXDU3328182","STEAM","","","USD","CT03-A-01-1","cleaning_log_2024.csv","46"
"CLEANING","2026-01-19T00:15:02.400000","HLCU5951499","SWEEP","ODOR","56.32","USD","CT04-Terminal","cleaning_log_2024.csv","21286"
"CLEANING","2026-01-20T00:04:58.400000","HLCU5951499","SWEEP","DIRTY FLOOR","80.64","USD","CT01-A-12-1","cleaning_log_2024.csv","47"
"CLEANING","2026-01-10T00:36:45.500000","TCNU8298320","STEAM","ODOR","78.41","USD","CT01-A-12-1","cleaning_log_2024.csv","48"
"CLEANING","2026-01-02T00:29:24.400000","PONU3824050","CHEMICAL","DIRTY FLOOR","96.51","USD","CT04-B-10-3","cleaning_log_2024.csv","8379"
"CLEANING","2026-01-04T00:56:52.300000","PONU3824050","SWEEP","","103.63","USD","CT01-Yard-A","cleaning_log_2024.csv","49"
"CLEANING","2026-01-06T00:38:16.300000","PONU3824050","WATER","DIRTY FLOOR","68.54","USD","CT02-C-20-4","cleaning_log_2024.csv","3252"
"CLEANING","2026-01-04T00:48:00.400000","CXDU9655593","STEAM","DIRTY FLOOR","-27.85","USD","CT02-C-20-4","cleaning_log_2024.csv","51"
"CLEANING","2026-01-14T00:58:01.500000","CXDU9655593","SWEEP","ODOR","112.37","USD","CT01-B-05-2","cleaning_log_2024.csv","2684"
"CLEANING","2026-01-02T19:14:00.000000","PONU5443508","SWEEP","","59.69","USD","CT04-B-10-3","cleaning_log_2024.csv","19451"
"CLEANING","2026-01-02T19:15:00.000000","PONU5443508","WATER","","49.92","USD","CT03-Depot","cleaning_log_2024.csv","53"
"CLEANING","2026-01-10T00:53:13.600000","PONU2664084","WATER","ODOR","37.67","USD","CT02-Yard-B","cleaning_log_2024.csv","55"
"CLEANING","2026-01-10T00:58:24.600000","PONU2664084","SWEEP","","36.85","USD","CT04-B-10-3","cleaning_log_2024.csv","18542"
"CLEANING","2026-01-10T00:48:03.800000","PONU2664084","STEAM","DIRTY FLOOR","119.72","USD","CT04-B-10-3","cleaning_log_2024.csv","7351"
"CLEANING","2026-01-15T00:32:45.700000","TCNU5912207","WATER","ODOR","86.85","USD","CT01-Yard-A","cleaning_log_2024.csv","18201"
"CLEANING","2026-01-16T00:31:26.700000","TCNU5912207","CHEMICAL","","54.63","USD","CT01-Yard-A","cleaning_log_2024.csv","11619"
"CLEANING","2026-01-18T00:25:27.500000","TCNU5912207","CHEMICAL","OIL STAIN","82.44","USD","CT01-A-12-1","cleaning_log_2024.csv","56"
"CLEANING","2026-01-05T00:47:22.600000","HLCU4972081","STEAM","OIL STAIN","20.8","USD","CT04-B-10-3","cleaning_log_2024.csv","57"
"CLEANING","2026-01-10T00:26:51.500000","HLCU4972081","SWEEP","ODOR","51.76","USD","CT01-Yard-A","cleaning_log_2024.csv","3232"
"CLEANING","2026-01-06T00:04:10.100000","MSCU8614301","WATER","","57.68","USD","CT02-C-20-4","cleaning_log_2024.csv","5995"
"CLEANING","2026-01-07T00:04:00.200000","MSCU8614301","CHEMICAL","OIL STAIN","69.51","USD","CT03-Depot","cleaning_log_2024.csv","58"
"CLEANING","2026-01-12T00:01:18.500000","MSCU8614301","CHEMICAL","","87.83","USD","CT03-Depot","cleaning_log_2024.csv","1442"
"CLEANING","2026-01-01T00:56:22.700000","PONU6166426","STEAM","OIL STAIN","40.9","USD","CT01-A-12-1","cleaning_log_2024.csv","14049"
"CLEANING","2026-01-07T00:20:45.600000","PONU6166426","SWEEP","","52.86","USD","CT03-Depot","cleaning_log_2024.csv","59"
"CLEANING","2026-01-02T00:12:26.500000","CXDU3665150","SWEEP","DIRTY FLOOR","95.06","USD","CT03-A-01-1","cleaning_log_2024.csv","60"
"CLEANING","2026-01-02T00:49:55.100000","CXDU3665150","WATER","OIL STAIN","62.98","USD","CT04-B-10-3","cleaning_log_2024.csv","15649"
"CLEANING","2026-01-07T00:20:58.700000","CXDU3665150","STEAM","DIRTY FLOOR","69.75","USD","CT04-Terminal","cleaning_log_2024.csv","2393"
"CLEANING","2026-01-08T00:44:32.300000","TCNU6715669","CHEMICAL","DIRTY FLOOR","46.81","USD","CT02-C-20-4","cleaning_log_2024.csv","61"
"CLEANING","2026-01-09T00:14:37.200000","TCNU6715669","CHEMICAL","","82.92","USD","CT02-C-20-4","cleaning_log_2024.csv","20961"
"CLEANING","2026-01-09T00:18:38.900000","TCNU6715669","STEAM","DIRTY FLOOR","70.98","USD","CT01-B-05-2","cleaning_log_2024.csv","12394"
"CLEANING","2025-12-26T00:27:46.400000","HLCU9297022","STEAM","ODOR","16.99","USD","CT01-B-05-2","cleaning_log_2024.csv","62"
"CLEANING","2025-12-28T00:13:34.300000","HLCU9297022","WATER","ODOR","31.5","USD","CT04-Terminal","cleaning_log_2024.csv","20602"
"CLEANING","2025-12-29T00:17:12.700000","HLCU9297022","WATER","ODOR","58.61","USD","CT03-Depot","cleaning_log_2024.csv","7960"
"CLEANING","2026-01-22T00:18:17.500000","HLCU6392899","CHEMICAL","","33.64","USD","CT04-B-10-3","cleaning_log_2024.csv","20088"
"CLEANING","2026-01-23T00:13:36.400000","HLCU6392899","WATER","DIRTY FLOOR","117.91","USD","CT04-B-10-3","cleaning_log_2024.csv","63"
"CLEANING","2026-01-07T00:39:35.500000","TCNU5742908","STEAM","DIRTY FLOOR","39.87","USD","CT01-A-12-1","cleaning_log_2024.csv","19298"
"CLEANING","2026-01-10T00:18:03.900000","TCNU5742908","STEAM","","86.1","USD","CT01-Yard-A","cleaning_log_2024.csv","65"
"CLEANING","2026-01-11T00:39:55.000000","TCNU5742908","CHEMICAL","","32.03","USD","CT04-Terminal","cleaning_log_2024.csv","22215"
"CLEANING","2026-01-09T00:23:38.400000","MSCU9204961","SWEEP","","20.37","USD","CT03-A-01-1","cleaning_log_2024.csv","4316"
"CLEANING","2026-01-10T00:29:54.600000","MSCU9204961","CHEMICAL","ODOR","20.04","USD","CT04-Terminal","cleaning_log_2024.csv","66"
"CLEANING","2026-01-10T00:35:26.700000","MSCU9204961","WATER","OIL STAIN","72","USD","CT01-B-05-2","cleaning_log_2024.csv","16981"
"CLEANING","2026-01-10T00:22:11.100000","PONU1757668","WATER","OIL STAIN","15.65","USD","CT01-Yard-A","cleaning_log_2024.csv","67"
"CLEANING","2026-01-16T00:46:28.400000","PONU1757668","SWEEP","DIRTY FLOOR","111.58","USD","CT01-Yard-A","cleaning_log_2024.csv","4930"
"CLEANING","2026-01-05T00:23:42.400000","CXDU3027349","WATER","OIL STAIN","77.46","USD","CT01-A-12-1","cleaning_log_2024.csv","19261"
"CLEANING","2026-01-06T00:48:27.900000","CXDU3027349","STEAM","","56.02","USD","CT02-C-20-4","cleaning_log_2024.csv","5978"
"CLEANING","2026-01-07T00:15:14.200000","CXDU3027349","SWEEP","OIL STAIN","15.3","USD","CT04-Terminal","cleaning_log_2024.csv","69"
"CLEANING","2026-01-10T00:11:31.600000","MSCU8281806","WATER","","65.1","USD","CT03-Depot","cleaning_log_2024.csv","8901"
"CLEANING","2026-01-11T00:17:46.100000","MSCU8281806","CHEMICAL","OIL STAIN","63.92","USD","CT03-A-01-1","cleaning_log_2024.csv","15878"
"CLEANING","2026-01-14T00:34:32.600000","MSCU8281806","CHEMICAL","","55.72","USD","CT02-Yard-B","cleaning_log_2024.csv","74"
"CLEANING","2026-01-15T00:26:06.200000","MSCU8281806","CHEMICAL","","71.07","USD","CT01-A-12-1","cleaning_log_2024.csv","11865"
"CLEANING","2025-12-31T00:24:50.500000","MSCU9240417","WATER","DIRTY FLOOR","49.17","USD","CT03-A-01-1","cleaning_log_2024.csv","75"
"CLEANING","2026-01-19T00:37:49.200000","HLCU7007588","SWEEP","OIL STAIN","34.57","USD","CT03-A-01-1","cleaning_log_2024.csv","6484"
"CLEANING","2026-01-20T00:28:05.000000","HLCU7007588","STEAM","DIRTY FLOOR","67.24","USD","CT02-C-20-4","cleaning_log_2024.csv","76"
"CLEANING","2026-01-21T00:05:41.100000","HLCU7007588","STEAM","OIL STAIN","98.4","USD","CT04-Terminal","cleaning_log_2024.csv","14070"
"CLEANING","2026-01-22T00:38:22.100000","CXDU9907862","STEAM","DIRTY FLOOR","101.42","USD","CT03-A-01-1","cleaning_log_2024.csv","10580"
"CLEANING","2026-01-23T00:34:38.800000","CXDU9907862","WATER","DIRTY FLOOR","43.54","USD","CT04-B-10-3","cleaning_log_2024.csv","78"
"CLEANING","2026-01-23T00:11:33.000000","CXDU9907862","STEAM","ODOR","100.94","USD","CT03-A-01-1","cleaning_log_2024.csv","17540"
"CLEANING","2026-01-03T00:03:53.400000","PONU3691324","CHEMICAL","","107.38","USD","CT01-Yard-A","cleaning_log_2024.csv","12809"
"CLEANING","2026-01-03T00:55:44.100000","PONU3691324","STEAM","ODOR","50.14","USD","CT04-Terminal","cleaning_log_2024.csv","6940"
"CLEANING","2026-01-04T00:32:17.700000","PONU3691324","SWEEP","","70.13","USD","CT03-A-01-1","cleaning_log_2024.csv","8599"
"CLEANING","2026-01-05T00:55:22.500000","PONU3691324","STEAM","","37.04","USD","CT02-Yard-B","cleaning_log_2024.csv","80"
"CLEANING","2026-01-18T00:53:20.600000","PONU3691324","STEAM","","50.79","USD","CT04-Terminal","cleaning_log_2024.csv","3326"
"CLEANING","2026-01-03T00:44:44.400000","CXDU1751291","STEAM","","68.91","USD","CT02-C-20-4","cleaning_log_2024.csv","82"
"CLEANING","2026-01-04T00:01:36.800000","CXDU1751291","SWEEP","DIRTY FLOOR","21.5","USD","CT01-Yard-A","cleaning_log_2024.csv","4948"
"CLEANING","2026-01-05T00:53:49.100000","TCNU5626899","WATER","OIL STAIN","39.25","USD","CT03-Depot","cleaning_log_2024.csv","15702"
"CLEANING","2026-01-06T00:50:33.300000","TCNU5626899","WATER","","85.13","USD","CT04-Terminal","cleaning_log_2024.csv","83"
"CLEANING","2026-01-04T00:25:28.900000","TCNU5817211","CHEMICAL","","16.83","USD","CT04-Terminal","cleaning_log_2024.csv","13482"
"CLEANING","2026-01-17T00:48:09.200000","TCNU5817211","CHEMICAL","DIRTY FLOOR","66.12","USD","CT04-B-10-3","cleaning_log_2024.csv","84"
"CLEANING","2026-01-04T00:15:21.000000","MSCU7842775","CHEMICAL","ODOR","38.66","USD","CT01-A-12-1","cleaning_log_2024.csv","15139"
"CLEANING","2026-01-05T00:26:14.900000","MSCU7842775","WATER","","20.98","USD","CT03-A-01-1","cleaning_log_2024.csv","17553"
"CLEANING","2026-01-06T00:19:26.200000","MSCU7842775","SWEEP","","109.94","USD","CT01-A-12-1","cleaning_log_2024.csv","86"
"CLEANING","2026-01-07T00:48:19.300000","MSCU7842775","CHEMICAL","","89.11","USD","CT03-A-01-1","cleaning_log_2024.csv","9138"
"CLEANING","2026-01-15T00:58:42.900000","HLCU2568353","CHEMICAL","","45.49","USD","CT01-Yard-A","cleaning_log_2024.csv","92"
"CLEANING","2026-01-15T00:10:45.500000","HLCU2568353","STEAM","OIL STAIN","103.63","USD","CT01-B-05-2","cleaning_log_2024.csv","16538"
"CLEANING","2026-01-15T00:32:05.700000","HLCU2568353","STEAM","DIRTY FLOOR","17.43","USD","CT02-C-20-4","cleaning_log_2024.csv","21855"
"CLEANING","2026-01-02T00:07:35.600000","TCNU4441708","CHEMICAL","ODOR","85.74","USD","CT01-Yard-A","cleaning_log_2024.csv","93"
"CLEANING","2026-01-11T00:47:01.300000","TCNU1055647","WATER","","86.72","USD","CT03-A-01-1","cleaning_log_2024.csv","94"
"CLEANING","2026-01-12T00:56:21.600000","TCNU1055647","CHEMICAL","DIRTY FLOOR","42.44","USD","CT04-B-10-3","cleaning_log_2024.csv","10720"
"CLEANING","2025-12-30T00:39:09.900000","HLCU7071490","STEAM","DIRTY FLOOR","","USD","CT04-B-10-3","cleaning_log_2024.csv","6579"
"CLEANING","2026-01-02T00:50:03.000000","HLCU7071490","STEAM","","58.44","USD","CT01-A-12-1","cleaning_log_2024.csv","95"
"CLEANING","2026-01-12T00:31:29.700000","HLCU9453262","WATER","","60.3","USD","CT04-B-10-3","cleaning_log_2024.csv","16268"
"CLEANING","2026-01-12T00:49:44.300000","HLCU9453262","SWEEP","","101.83","USD","CT01-B-05-2","cleaning_log_2024.csv","96"
"CLEANING","2026-01-13T00:28:53.600000","MSCU1786126","STEAM","ODOR","43.5","USD","CT04-Terminal","cleaning_log_2024.csv","97"
"CLEANING","2026-01-01T00:36:24.100000","PONU7211371","SWEEP","OIL STAIN","40.01","USD","CT01-Yard-A","cleaning_log_2024.csv","98"
"CLEANING","2025-12-16T00:35:19.900000","HLCU7831542","WATER","","50.24","USD","CT01-B-05-2","cleaning_log_2024.csv","7798"
"CLEANING","2025-12-16T00:40:09.500000","HLCU7831542","STEAM","","113.04","USD","CT02-C-20-4","cleaning_log_2024.csv","18854"
"CLEANING","2025-12-17T00:44:50.900000","HLCU7831542","STEAM","ODOR","45.28","USD","CT04-B-10-3","cleaning_log_2024.csv","594"
"CLEANING","2025-12-18T00:26:33.100000","HLCU7831542","WATER","","","USD","CT01-B-05-2","cleaning_log_2024.csv","99"
"CLEANING","2025-12-26T00:08:44.200000","TCNU7297320","SWEEP","ODOR","84.89","USD","CT04-Terminal","cleaning_log_2024.csv","101"
"CLEANING","2025-12-29T00:05:17.500000","HLCU9173186","SWEEP","DIRTY FLOOR","91.9","USD","CT02-Yard-B","cleaning_log_2024.csv","102"
"CLEANING","2025-12-29T00:55:31.500000","HLCU9173186","STEAM","ODOR","19.91","USD","CT01-B-05-2","cleaning_log_2024.csv","22750"
"CLEANING","2026-01-16T00:00:46.100000","TCNU3518260","STEAM","ODOR","112.32","USD","CT01-Yard-A","cleaning_log_2024.csv","10669"
"CLEANING","2026-01-19T00:54:17.400000","TCNU3518260","STEAM","ODOR","24.37","USD","CT02-C-20-4","cleaning_log_2024.csv","103"
"CLEANING","2026-01-20T00:09:20.200000","HLCU2996481","CHEMICAL","OIL STAIN","48.84","USD","CT03-A-01-1","cleaning_log_2024.csv","104"
"CLEANING","2026-01-21T05:57:00.000000","PONU8450459","CHEMICAL","ODOR","39.03","USD","CT03-A-01-1","cleaning_log_2024.csv","105"
"CLEANING","2026-01-14T00:57:54.600000","HLCU4019244","WATER","","80.95","USD","CT03-A-01-1","cleaning_log_2024.csv","106"
"CLEANING","2026-01-15T00:39:10.300000","HLCU4019244","SWEEP","","54.2","USD","CT01-A-12-1","cleaning_log_2024.csv","4600"
"CLEANING","2026-01-15T00:20:27.800000","HLCU4019244","STEAM","","50.98","USD","CT01-Yard-A","cleaning_log_2024.csv","1753"
"CLEANING","2026-01-05T00:36:52.200000","TCNU4654134","WATER","DIRTY FLOOR","105.55","USD","CT03-Depot","cleaning_log_2024.csv","20895"
"CLEANING","2026-01-07T00:21:18.500000","TCNU4654134","CHEMICAL","","80.27","USD","CT01-A-12-1","cleaning_log_2024.csv","107"
"CLEANING","2026-01-07T00:28:11.300000","TCNU4654134","WATER","","108.31","USD","CT01-B-05-2","cleaning_log_2024.csv","17675"
"CLEANING","2026-01-08T00:20:49.600000","TCNU4654134","CHEMICAL","","29.37","USD","CT02-Yard-B","cleaning_log_2024.csv","21602"
"CLEANING","2026-01-10T00:24:41.500000","TCNU4654134","WATER","DIRTY FLOOR","75.94","USD","CT01-A-12-1","cleaning_log_2024.csv","7820"
"CLEANING","2026-01-09T18:42:00.000000","CXDU2706057","WATER","","","USD","CT02-C-20-4","cleaning_log_2024.csv","108"
"CLEANING","2026-01-05T00:18:52.300000","CXDU2538821","WATER","","78.57","USD","CT04-Terminal","cleaning_log_2024.csv","110"
"CLEANING","2026-01-05T00:27:41.100000","CXDU2538821","STEAM","DIRTY FLOOR","53.98","USD","CT04-Terminal","cleaning_log_2024.csv","4713"
"CLEANING","2026-01-06T00:31:58.700000","CXDU2538821","CHEMICAL","ODOR","83.56","USD","CT03-Depot","cleaning_log_2024.csv","13239"
"CLEANING","2026-01-15T00:42:42.900000","TCNU3183616","SWEEP","ODOR","33.53","USD","CT01-Yard-A","cleaning_log_2024.csv","10571"
"CLEANING","2026-01-16T00:27:35.200000","TCNU3183616","WATER","ODOR","36.21","USD","CT03-A-01-1","cleaning_log_2024.csv","111"
"CLEANING","2026-01-17T00:52:31.800000","TCNU3183616","WATER","OIL STAIN","89.81","USD","CT04-B-10-3","cleaning_log_2024.csv","9748"
"CLEANING","2026-01-18T00:22:06.700000","TCNU3183616","WATER","","20.75","USD","CT04-Terminal","cleaning_log_2024.csv","19321"
"CLEANING","2026-01-19T00:34:36.700000","TCNU3183616","STEAM","DIRTY FLOOR","74.67","USD","CT03-A-01-1","cleaning_log_2024.csv","1573"
"CLEANING","2025-12-23T00:41:32.100000","HLCU2836059","CHEMICAL","ODOR","107.67","USD","CT01-Yard-A","cleaning_log_2024.csv","112"
"CLEANING","2025-12-29T00:09:55.900000","HLCU2836059","STEAM","","109.92","USD","CT02-C-20-4","cleaning_log_2024.csv","8193"
"CLEANING","2026-01-11T00:21:31.300000","HLCU2836059","STEAM","","76.54","USD","CT02-Yard-B","cleaning_log_2024.csv","8268"
