"event_type","event_time","container_no_raw","eir","seq","type_raw","opt","move","booking","truck","vessel","voyage","dest","grade","position","location","source_file","source_row"
"GATE_IN","2025-12-12T10:45:00.000000","HLCU4842308","812190","20954","20GP","ONE","HR","BK738716","51C-2664","KOTA GAYA","7104N","USLAX","B","CT02-C-20-4","CT02-C","gate_activity.xlsx","20954"
"GATE_IN","2025-12-12T10:47:00.000000","CXDU9741374","240349","4966","40GP","MSC","HR","BK766803","50H-9193","MAERSK HANOI","2805N","USLAX","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","4966"
"GATE_IN","2025-12-12T10:51:00.000000","MSCU3091364","896320","18116","20GP","KMT","HR","BK591658","50H-9193","MSC ISABELLA","1704N","CNSHA","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","18116"
"GATE_IN","2025-12-12T11:09:00.000000","HLCU3236924","876814","5650","40HC","ONE","HR","BK551288","50H-9193","KOTA GAYA","5003N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","5650"
"GATE_IN","2025-12-12T11:12:00.000000","CXDU1562185","436837","13398","40GP","MSC","HR","BK737306","50H-9193","SUNNY FREESIA","1702N","USLAX","B","CT04-B-10-3","CT04-B","gate_activity.xlsx","13398"
"GATE_IN","2025-12-12T11:20:00.000000","PONU1157402","586038","1996","20GP","MSC","HR","BK740184","51C-2664","EVER GIVEN","6804N","VNHPH","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","1996"
"GATE_IN","2025-12-12T11:30:00.000000","PONU1872196","113956","13938","40GP","ONE","HR","BK760952","51C-2664","KOTA GAYA","1403N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","13938"
"GATE_IN","2025-12-12T11:35:00.000000","CXDU7772741","494748","12654","40GP","ONE","HR","BK235323","51C-2664","EVER GIVEN","7002N","USLAX","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","12654"
"GATE_IN","2025-12-12T12:17:00.000000","TCNU4345727","415507","16626","40GP","CMA","HR","BK906161","60C-1389","MAERSK HANOI","2705N","USLAX","B","CT02-C-20-4","CT02-C","gate_activity.xlsx","16626"
"GATE_IN","2025-12-12T12:36:00.000000","TCNU2956459","814453","13444","40HC","ONE","HR","BK971436","51C-2664","MSC ISABELLA","2901N","VNHPH","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","13444"
"GATE_IN","2025-12-12T12:49:00.000000","CXDU3360244","347750","7500","40GP","ONE","HR","BK980859","51C-2664","SUNNY FREESIA","5002N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","7500"
"GATE_IN","2025-12-12T12:56:00.000000","TCNU3490069","225614","15578","40HC","KMT","HR","BK763653","60C-1389","EVER GIVEN","8102N","VNHPH","B","CT04-B-10-3","CT04-B","gate_activity.xlsx","15578"
"GATE_IN","2025-12-12T13:05:00.000000","MSCU6897776","150435","7172","40HC","CMA","HR","BK780511","50H-9193","KOTA GAYA","5304N","USLAX","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","7172"
"GATE_IN","2025-12-12T13:24:00.000000","TCNU8513486","966061","88","40HC","CMA","HR","BK853910","51C-2664","MAERSK HANOI","7801N","VNHPH","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","88"
"GATE_IN","2025-12-12T13:45:00.000000","MSCU2454076","365752","1736","20GP","CMA","HR","BK210295","51C-2664","KOTA GAYA","2601N","USLAX","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","1736"
"GATE_IN","2025-12-12T13:53:00.000000","TCNU7691713","346924","14756","40GP","CMA","HR","BK766224","60C-1389","KOTA GAYA","3205N","CNSHA","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","14756"
"GATE_IN","2025-12-12T14:09:00.000000","TCNU9497616","533868","14318","40HC","ONE","HR","BK176928","51C-2664","KOTA GAYA","8404N","CNSHA","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","14318"
"GATE_IN","2025-12-12T14:11:00.000000","HLCU4717569","431295","7646","40GP","MSC","HR","BK893585","51C-2664","KOTA GAYA","6001N","VNHPH","B","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","7646"
"GATE_IN","2025-12-12T14:23:00.000000","MSCU5553160","262233","21156","40GP","MSC","HR","BK970228","60C-1389","SUNNY FREESIA","9803N","VNHPH","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","21156"
"GATE_IN","2025-12-12T14:39:00.000000","TCNU5812079","727263","15002","40GP","MSC","HR","BK843683","50H-9193","MAERSK HANOI","3301N","CNSHA","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","15002"
"GATE_IN","2025-12-12T14:51:00.000000","PONU1615901","665841","12432","20GP","KMT","HR","BK540222","50H-9193","KOTA GAYA","3605N","CNSHA","B","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","12432"
"GATE_IN","2025-12-12T15:07:00.000000","TCNU3711936","759531","15048","20GP","KMT","HR","BK426566","60C-1389","MSC ISABELLA","7402N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","15048"
"GATE_IN","2025-12-12T15:11:00.000000","MSCU2448297","931698","9736","40HC","CMA","HR","BK557063","51C-2664","KOTA GAYA","7504N","CNSHA","A","CT04-B-10-3","CT04-B","gate_activity.xlsx","9736"
"GATE_IN","2025-12-12T15:19:00.000000","PONU1470381","599928","7928","40HC","ONE","HR","BK996930","51C-2664","SUNNY FREESIA","3803N","CNSHA","A","CT03-Depot","CT03-Depot","gate_activity.xlsx","7928"
"GATE_IN","2025-12-12T15:25:00.000000","HLCU3557940","456235","18430","20GP","ONE","HR","BK416402","50H-9193","MSC ISABELLA","2805N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","18430"
"GATE_IN","2025-12-12T15:27:00.000000","CXDU8818502","380919","9296","20GP","KMT","HR","BK865944","60C-1389","EVER GIVEN","4205N","CNSHA","A","CT03-Depot","CT03-Depot","gate_activity.xlsx","9296"
"GATE_IN","2025-12-12T15:39:00.000000","HLCU2680483","591339","15010","40GP","MSC","HR","BK713506","60C-1389","KOTA GAYA","3805N","VNHPH","A","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","15010"
"GATE_IN","2025-12-12T15:52:00.000000","MSCU1431756","924672","13030","20GP","KMT","HR","BK832070","50H-9193","MAERSK HANOI","2905N","CNSHA","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","13030"
"GATE_IN","2025-12-12T16:13:00.000000","PONU6744502","409263","6600","40HC","KMT","HR","BK405265","60C-1389","MAERSK HANOI","7402N","CNSHA","A","CT03-Depot","CT03-Depot","gate_activity.xlsx","6600"
"GATE_IN","2025-12-12T16:32:00.000000","TCNU2923827","583923","21180","40HC","MSC","HR","BK867005","50H-9193","KOTA GAYA","4505N","VNHPH","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","21180"
"GATE_IN","2025-12-12T16:36:00.000000","MSCU5817451","713846","18318","20GP","MSC","HR","BK842576","60C-1389","MSC ISABELLA","4001N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","18318"
"GATE_OUT","2025-12-12T16:41:00.000000","MSCU6119103","877572","9328","40GP","CMA","XR","BK487657","51C-2664","EVER GIVEN","3004N","USLAX","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","23237"
"GATE_IN","2025-12-12T16:44:00.000000","CXDU6088265","786151","20042","20GP","MSC","HR","BK168076","50H-9193","MSC ISABELLA","9005N","USLAX","B","CT04-B-10-3","CT04-B","gate_activity.xlsx","20042"
"GATE_IN","2025-12-12T16:48:00.000000","HLCU9091397","472915","21056","40GP","CMA","HR","BK807962","51C-2664","EVER GIVEN","6705N","CNSHA","A","CT04-B-10-3","CT04-B","gate_activity.xlsx","21056"
"GATE_IN","2025-12-12T17:13:00.000000","CXDU8148223","482076","14472","20GP","ONE","HR","BK865310","51C-2664","MAERSK HANOI","4503N","CNSHA","B","CT03-Depot","CT03-Depot","gate_activity.xlsx","14472"
"GATE_IN","2025-12-12T17:20:00.000000","MSCU5728746","793394","21336","20GP","CMA","HR","BK724219","50H-9193","KOTA GAYA","9703N","VNHPH","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","21336"
"GATE_IN","2025-12-12T17:25:00.000000","PONU8248150","715340","3888","40GP","MSC","HR","BK584263","60C-1389","SUNNY FREESIA","6003N","USLAX","A","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","3888"
"GATE_IN","2025-12-12T17:39:00.000000","MSCU2724625","106008","5360","40GP","MSC","HR","BK661501","51C-2664","EVER GIVEN","1504N","VNHPH","B","CT02-C-20-4","CT02-C","gate_activity.xlsx","5360"
"GATE_IN","2025-12-12T17:44:00.000000","TCNU2295782","524336","5346","20GP","KMT","HR","BK215929","50H-9193","MAERSK HANOI","4104N","USLAX","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","5346"
"GATE_IN","2025-12-12T17:57:00.000000","CXDU6461059","396277","20460","40GP","ONE","HR","BK898533","60C-1389","MAERSK HANOI","8703N","USLAX","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","20460"
"GATE_IN","2025-12-12T18:02:00.000000","HLCU6726703","908653","9886","40GP","MSC","HR","BK680491","50H-9193","SUNNY FREESIA","6904N","CNSHA","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","9886"
"GATE_IN","2025-12-12T18:04:00.000000","CXDU5350021","722358","12528","40HC","CMA","HR","BK607047","50H-9193","KOTA GAYA","5001N","USLAX","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","12528"
"GATE_IN","2025-12-12T18:29:00.000000","CXDU8076400","631392","16832","40GP","CMA","HR","BK777800","50H-9193","SUNNY FREESIA","4001N","USLAX","B","CT01-B-05-2","CT01-B","gate_activity.xlsx","16832"
"GATE_IN","2025-12-12T18:35:00.000000","HLCU1838110","580085","2922","40HC","ONE","HR","BK336507","51C-2664","KOTA GAYA","8603N","CNSHA","A","CT04-B-10-3","CT04-B","gate_activity.xlsx","2922"
"GATE_IN","2025-12-12T18:50:00.000000","CXDU5846373","190834","17240","40HC","CMA","HR","BK208691","50H-9193","MSC ISABELLA","5002N","CNSHA","B","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","17240"
"GATE_IN","2025-12-12T18:59:00.000000","MSCU6276680","472312","6096","40GP","CMA","HR","BK615503","60C-1389","MAERSK HANOI","5803N","CNSHA","B","CT04-B-10-3","CT04-B","gate_activity.xlsx","6096"
"GATE_IN","2025-12-12T19:50:00.000000","HLCU6130044","938802","4448","20GP","MSC","HR","BK809426","51C-2664","MAERSK HANOI","8001N","VNHPH","A","CT02-C-20-4","CT02-C","gate_activity.xlsx","4448"
"GATE_OUT","2025-12-12T20:11:00.000000","PONU1204175","131244","9432","20GP","KMT","XT","BK709661","50H-9193","KOTA GAYA","9102N","USLAX","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","23240"
"GATE_IN","2025-12-12T20:28:00.000000","PONU3570291","145552","20470","20GP","KMT","HR","BK285889","60C-1389","EVER GIVEN","7204N","CNSHA","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","20470"
"GATE_IN","2025-12-12T20:54:00.000000","HLCU9521631","461722","2480","20GP","MSC","HR","BK738435","60C-1389","KOTA GAYA","8602N","CNSHA","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","2480"
"GATE_IN","2025-12-12T21:14:00.000000","PONU5671063","440925","5534","20GP","KMT","HR","BK703500","51C-2664","MSC ISABELLA","9002N","USLAX","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","5534"
"GATE_IN","2025-12-12T21:15:00.000000","TCNU4699300","268720","5212","40GP","MSC","HR","BK215461","51C-2664","MSC ISABELLA","4305N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","5212"
"GATE_IN","2025-12-12T21:29:00.000000","PONU9223955","859072","15162","20GP","CMA","HR","BK108914","51C-2664","MSC ISABELLA","8903N","VNHPH","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","15162"
"GATE_IN","2025-12-12T21:52:00.000000","HLCU3647709","450608","3772","20GP","KMT","HR","BK514198","50H-9193","MAERSK HANOI","7504N","USLAX","B","CT03-Depot","CT03-Depot","gate_activity.xlsx","3772"
"GATE_IN","2025-12-12T22:10:00.000000","TCNU2979078","505892","5738","40HC","ONE","HR","BK364012","51C-2664","SUNNY FREESIA","8601N","VNHPH","A","CT02-C-20-4","CT02-C","gate_activity.xlsx","5738"
"GATE_IN","2025-12-12T22:16:00.000000","CXDU7903212","850059","20178","40HC","KMT","HR","BK658977","60C-1389","MAERSK HANOI","5105N","CNSHA","B","CT01-B-05-2","CT01-B","gate_activity.xlsx","20178"
"GATE_IN","2025-12-12T22:46:00.000000","CXDU1957620","446284","18220","40HC","ONE","HR","BK242267","60C-1389","EVER GIVEN","8605N","VNHPH","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","18220"
"GATE_IN","2025-12-13T00:34:00.000000","CXDU6619553","809673","17878","40GP","KMT","HR","BK400972","60C-1389","MAERSK HANOI","7103N","CNSHA","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","17878"
"GATE_IN","2025-12-13T00:48:00.000000","HLCU3351097","162683","6334","40HC","KMT","HR","BK377223","50H-9193","EVER GIVEN","3301N","USLAX","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","6334"
"GATE_IN","2025-12-13T01:50:00.000000","TCNU2084568","613101","20706","40HC","KMT","HR","BK370356","51C-2664","MSC ISABELLA","6905N","USLAX","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","20706"
"GATE_IN","2025-12-13T04:03:00.000000","HLCU6141061","620035","9124","40GP","KMT","HR","BK728000","50H-9193","SUNNY FREESIA","3104N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","9124"
"GATE_IN","2025-12-13T05:47:00.000000","HLCU3120571","233370","12314","40HC","MSC","HR","BK162376","50H-9193","MAERSK HANOI","3903N","CNSHA","B","CT02-C-20-4","CT02-C","gate_activity.xlsx","12314"
"GATE_IN","2025-12-13T05:50:00.000000","HLCU9949001","276415","9336","20GP","KMT","HR","BK732833","60C-1389","MAERSK HANOI","7503N","VNHPH","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","9336"
"GATE_IN","2025-12-13T06:10:00.000000","MSCU7757816","162480","16016","40GP","CMA","HR","BK278984","51C-2664","KOTA GAYA","6202N","CNSHA","B","CT01-B-05-2","CT01-B","gate_activity.xlsx","16016"
"GATE_IN","2025-12-13T06:28:00.000000","MSCU9354473","254046","20984","40GP","ONE","HR","BK702526","50H-9193","MAERSK HANOI","4901N","CNSHA","B","CT02-C-20-4","CT02-C","gate_activity.xlsx","20984"
"GATE_IN","2025-12-13T06:58:00.000000","PONU8351133","297771","5382","20GP","KMT","HR","BK868475","51C-2664","KOTA GAYA","7005N","CNSHA","B","CT01-B-05-2","CT01-B","gate_activity.xlsx","5382"
"GATE_IN","2025-12-13T07:28:00.000000","CXDU5704105","447394","9660","40GP","ONE","HR","BK804998","60C-1389","MAERSK HANOI","3304N","VNHPH","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","9660"
"GATE_IN","2025-12-13T07:29:00.000000","CXDU5786442","113472","11042","40GP","CMA","HR","BK891408","50H-9193","MAERSK HANOI","8302N","VNHPH","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","11042"
"GATE_IN","2025-12-13T07:39:00.000000","PONU2971796","348555","1428","20GP","KMT","HR","BK564861","50H-9193","EVER GIVEN","3903N","CNSHA","B","CT01-B-05-2","CT01-B","gate_activity.xlsx","1428"
"GATE_IN","2025-12-13T07:42:00.000000","PONU6425236","416508","12262","20GP","MSC","HR","BK438667","60C-1389","EVER GIVEN","6904N","VNHPH","A","CT03-Depot","CT03-Depot","gate_activity.xlsx","12262"
"GATE_IN","2025-12-13T08:30:00.000000","CXDU3797075","292620","18054","20GP","CMA","HR","BK793252","60C-1389","MAERSK HANOI","6004N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","18054"
"GATE_IN","2025-12-13T08:56:00.000000","HLCU5097418","993702","3116","40GP","MSC","HR","BK936105","51C-2664","MSC ISABELLA","9003N","CNSHA","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","3116"
"GATE_IN","2025-12-13T09:00:00.000000","TCNU5572665","255806","2102","40GP","KMT","HR","BK167281","60C-1389","EVER GIVEN","3805N","USLAX","B","CT03-A-01-1","CT03-A","gate_activity.xlsx","2102"
"GATE_IN","2025-12-13T09:03:00.000000","HLCU4712962","260333","14558","40HC","KMT","HR","BK876762","50H-9193","SUNNY FREESIA","2502N","CNSHA","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","14558"
"GATE_IN","2025-12-13T09:07:00.000000","HLCU8271700","995106","22210","20GP","MSC","HR","BK321149","50H-9193","EVER GIVEN","3205N","VNHPH","A","CT02-C-20-4","CT02-C","gate_activity.xlsx","22210"
"GATE_IN","2025-12-13T09:46:00.000000","TCNU9726322","516652","7186","40HC","MSC","HR","BK848927","50H-9193","EVER GIVEN","3001N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","7186"
"GATE_OUT","2025-12-13T09:57:00.000000","CXDU3132283","148050","22680","40HC","KMT","XR","BK641682","51C-2664","KOTA GAYA","4504N","VNHPH","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","23253"
"GATE_IN","2025-12-13T10:06:00.000000","HLCU1462284","586007","13602","40GP","KMT","HR","BK188092","60C-1389","MAERSK HANOI","4002N","CNSHA","A","CT02-C-20-4","CT02-C","gate_activity.xlsx","13602"
"GATE_IN","2025-12-13T10:16:00.000000","HLCU8296289","566524","10786","20GP","ONE","HR","BK685220","60C-1389","SUNNY FREESIA","5404N","USLAX","A","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","10786"
"GATE_IN","2025-12-13T10:24:00.000000","CXDU6167883","832814","13988","40GP","CMA","HR","BK377027","50H-9193","MAERSK HANOI","6201N","VNHPH","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","13988"
"GATE_IN","2025-12-13T10:28:00.000000","MSCU4866868","198084","20420","40GP","KMT","HR","BK939636","50H-9193","SUNNY FREESIA","7004N","USLAX","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","20420"
"GATE_OUT","2025-12-13T10:34:00.000000","CXDU3360244","340174","7500","40GP","ONE","XT","BK980859","51C-2664","SUNNY FREESIA","5002N","USLAX","A","CT02-Yard-B","CT02-Yard-B","gate_activity.xlsx","23262"
"GATE_IN","2025-12-13T10:49:00.000000","PONU2775228","212305","21434","40GP","ONE","HR","BK578402","60C-1389","EVER GIVEN","5301N","USLAX","A","CT03-A-01-1","CT03-A","gate_activity.xlsx","21434"
"GATE_IN","2025-12-13T10:56:00.000000","PONU5534659","900161","4910","40HC","MSC","HR","BK625276","60C-1389","MAERSK HANOI","3604N","USLAX","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","4910"
"GATE_IN","2025-12-13T11:01:00.000000","MSCU3630683","260400","1224","20GP","KMT","HR","BK481209","51C-2664","MSC ISABELLA","9905N","USLAX","A","CT01-B-05-2","CT01-B","gate_activity.xlsx","1224"
"GATE_IN","2025-12-13T11:31:00.000000","MSCU6784196","323641","12912","40HC","ONE","HR","BK164242","60C-1389","KOTA GAYA","1301N","CNSHA","A","CT01-Yard-A","CT01-Yard-A","gate_activity.xlsx","12912"
"GATE_OUT","2025-12-13T11:33:00.000000","CXDU2041925","476417","22000","20GP","CMA","XR","BK903839","60C-1389","MAERSK HANOI","5201N","CNSHA","B","CT04-Terminal","CT04-Terminal","gate_activity.xlsx","23248"
"GATE_IN","2025-12-13T11:36:00.000000","HLCU1393333","371702","3814","40GP","KMT","HR","BK412910","50H-9193","MSC ISABELLA","8902N","USLAX","A","CT01-A-12-1","CT01-A","gate_activity.xlsx","3814"
"GATE_IN","2025-12-13T11:43:00.000000","PONU3295269","237735","21970","40HC","CMA","HR","BK436904","51C-2664","MAERSK HANOI","2401N","USLAX","A","CT04-B-10-3","CT04-B","gate_activity.xlsx","21970"
"GATE_OUT","2025-12-13T11:49:00.000000","PONU1872196","738720","13938","40GP","ONE","XT","BK760952","51C-2664","KOTA GAYA","1403N","CNSHA","B","CT01-A-12-1","CT01-A","gate_activity.xlsx","23258"
"GATE_IN","2025-12-13T11:57:00.000000","PONU7419691","693228","20942","40GP","KMT","HR","BK282965","51C-2664","MAERSK HANOI","4804N","VNHPH","B","CT03-Depot","CT03-Depot","gate_activity.xlsx","20942"
