"booking_no","container_no_raw","carrier","vessel","voyage","origin_port","dest_port","etd","eta","service","status","qty_teu","created_time","notes"
"BK147865","CXDU7794921","COSCO","KOTA GAYA","4305N","VNSGN","CNSHA","2026-01-23 16:48:31","2026-02-19 16:48:31","TP1","BOOKED","3","2026-01-15 16:48:31",""
"BK257483","MSCU7241148","MAERSK","KOTA GAYA","8004N","VNSGN","VNHPH","2026-01-24 16:48:48","2026-02-22 16:48:48","FE2","CANCELLED","5","2026-01-13 16:48:48",""
"BK835669","CXDU1840406","MAERSK","MSC ISABELLA","6502N","VNSGN","CNSHA","2026-01-08 14:11:18","2026-01-23 14:11:18","TP1","CANCELLED","1","2025-12-20 14:11:18",""
"BK629954","HLCU6722316","CMA CGM","KOTA GAYA","6502N","VNSGN","SGSIN","2026-01-20 08:21:46","2026-02-01 08:21:46","FE2","CANCELLED","1","2026-01-01 08:21:46",""
"BK914817","CXDU5360727","MAERSK","EVER GIVEN","6501N","VNSGN","VNHPH","2026-01-23 17:12:32","2026-02-18 17:12:32","TP1","BOOKED","1","2025-12-30 17:12:32",""
"BK127556","HLCU5515244","MAERSK","MAERSK HANOI","2501N","VNSGN","CNSHA","2025-12-16 15:38:29","2026-01-10 15:38:29","FE2","BOOKED","5","2025-12-01 15:38:29",""
"BK162867","HLCU7878009","MSC","EVER GIVEN","3302N","VNSGN","SGSIN","2026-01-21 10:34:19","2026-01-28 10:34:19","TP1","CANCELLED","5","2026-01-02 10:34:19",""
"BK610034","CXDU6421056","ONE","MSC ISABELLA","4504N","VNSGN","USLAX","2026-01-15 16:36:57","2026-02-08 16:36:57","SE3","BOOKED","2","2026-01-02 16:36:57",""
"BK819353","PONU6331390","ONE","EVER GIVEN","7001N","VNSGN","SGSIN","2026-01-16 14:22:28","2026-02-01 14:22:28","SE3","BOOKED","3","2025-12-23 14:22:28",""
"BK760280","TCNU1267129","MSC","MSC ISABELLA","8905N","VNSGN","USLAX","2026-01-17 10:54:04","2026-01-31 10:54:04","SE3","CANCELLED","2","2025-12-27 10:54:04",""
"BK395651","PONU2650933","MAERSK","MSC ISABELLA","5401N","VNSGN","USLAX","2025-12-22 11:27:59","2026-01-15 11:27:59","FE2","LOADED","5","2025-12-03 11:27:59",""
"BK739221","TCNU1389339","MSC","MSC ISABELLA","1805N","VNSGN","CNSHA","2026-01-21 16:03:53","2026-02-03 16:03:53","TP1","BOOKED","5","2025-12-27 16:03:53",""
"BK277942","MSCU7824304","MSC","KOTA GAYA","4903N","VNSGN","SGSIN","2026-01-19 12:12:24","2026-02-14 12:12:24","SE3","BOOKED","3","2025-12-31 12:12:24",""
"BK133401","PONU5572914","ONE","MSC ISABELLA","2704N","VNSGN","USLAX","2026-01-24 16:54:57","2026-02-10 16:54:57","TP1","BOOKED","2","2025-12-27 16:54:57",""
"BK450067","MSCU4917978","CMA CGM","KOTA GAYA","1603N","VNSGN","CNSHA","2025-12-12 12:30:26","2026-01-09 12:30:26","TP1","CANCELLED","5","2025-11-18 12:30:26",""
"BK540236","TCNU1345028","CMA CGM","KOTA GAYA","2101N","VNSGN","SGSIN","2026-01-08 08:14:25","2026-01-30 08:14:25","TP1","LOADED","4","2025-12-10 08:14:25",""
"BK381024","PONU4904199","MSC","EVER GIVEN","4802N","VNSGN","SGSIN","2026-01-14 15:18:55","2026-02-01 15:18:55","TP1","CANCELLED","1","2025-12-18 15:18:55",""
"BK727886","TCNU6658550","MAERSK","EVER GIVEN","7604N","VNSGN","SGSIN","2026-01-16 15:13:49","2026-02-02 15:13:49","FE2","BOOKED","2","2025-12-22 15:13:49",""
"BK205949","PONU5170097","ONE","KOTA GAYA","3602N","VNSGN","VNHPH","2026-01-25 09:15:25","2026-02-15 09:15:25","SE3","LOADED","3","2025-12-29 09:15:25",""
"BK704305","TCNU3707377","ONE","EVER GIVEN","6102N","VNSGN","SGSIN","2026-01-16 00:21:28","2026-02-01 00:21:28","FE2","LOADED","4","2026-01-04 00:21:28",""
"BK795739","HLCU9050563","MAERSK","MSC ISABELLA","1402N","VNSGN","CNSHA","2026-01-16 18:54:26","2026-02-05 18:54:26","TP1","LOADED","4","2026-01-07 18:54:26",""
"BK617110","CXDU7978937","ONE","MSC ISABELLA","7505N","VNSGN","SGSIN","2026-01-15 12:06:42","2026-01-20 12:06:42","FE2","CANCELLED","2","2026-01-04 12:06:42",""
"BK987519","PONU2544748","MSC","EVER GIVEN","4303N","VNSGN","SGSIN","2026-01-15 08:15:56","2026-02-14 08:15:56","FE2","LOADED","1","2025-12-19 08:15:56",""
"BK363536","HLCU4396250","ONE","MSC ISABELLA","1005N","VNSGN","VNHPH","2026-01-22 12:21:08","2026-02-16 12:21:08","TP1","CANCELLED","3","2026-01-08 12:21:08",""
"BK644908","HLCU7528959","MAERSK","KOTA GAYA","4202N","VNSGN","CNSHA","2026-01-23 15:32:18","2026-01-29 15:32:18","SE3","LOADED","1","2025-12-30 15:32:18",""
"BK988551","MSCU5730567","MAERSK","MAERSK HANOI","4604N","VNSGN","VNHPH","2026-01-13 20:41:15","2026-02-04 20:41:15","TP1","BOOKED","1","2025-12-26 20:41:15",""
"BK561912","HLCU4892503","CMA CGM","EVER GIVEN","9905N","VNSGN","CNSHA","2026-01-14 15:28:27","2026-02-03 15:28:27","FE2","CANCELLED","2","2025-12-31 15:28:27",""
"BK339254","CXDU9495931","MSC","EVER GIVEN","4801N","VNSGN","USLAX","2026-01-14 21:34:26","2026-01-24 21:34:26","FE2","LOADED","3","2026-01-06 21:34:26",""
"BK249577","CXDU5645388","COSCO","MSC ISABELLA","5401N","VNSGN","USLAX","2026-01-16 17:45:01","2026-02-11 17:45:01","SE3","CANCELLED","3","2026-01-01 17:45:01",""
"BK240480","TCNU4109979","CMA CGM","EVER GIVEN","8805N","VNSGN","SGSIN","2026-01-24 16:34:58","2026-02-12 16:34:58","TP1","CANCELLED","5","2025-12-31 16:34:58",""
"BK869094","PONU4962026","COSCO","EVER GIVEN","5402N","VNSGN","VNHPH","2026-01-24 17:53:04","2026-02-11 17:53:04","FE2","BOOKED","5","2026-01-03 17:53:04",""
"BK979206","TCNU8329721","MSC","MAERSK HANOI","7802N","VNSGN","CNSHA","2026-01-25 08:30:03","2026-02-10 08:30:03","TP1","LOADED","2","2025-12-29 08:30:03",""
"BK764478","MSCU4851840","COSCO","MSC ISABELLA","7302N","VNSGN","CNSHA","2026-01-14 15:34:27","2026-01-24 15:34:27","TP1","CANCELLED","1","2026-01-02 15:34:27",""
"BK621980","TCNU4952122","MSC","KOTA GAYA","2601N","VNSGN","CNSHA","2026-01-17 08:41:46","2026-02-12 08:41:46","TP1","CANCELLED","2","2025-12-29 08:41:46",""
"BK761863","MSCU2485165","MSC","MSC ISABELLA","6404N","VNSGN","SGSIN","2025-12-13 11:38:41","2025-12-26 11:38:41","SE3","LOADED","2","2025-11-16 11:38:41",""
"BK194823","HLCU7530741","COSCO","SUNNY FREESIA","7902N","VNSGN","SGSIN","2026-01-18 03:12:10","2026-01-23 03:12:10","FE2","LOADED","1","2025-12-25 03:12:10",""
"BK241037","MSCU9052670","COSCO","KOTA GAYA","5201N","VNSGN","CNSHA","2026-01-22 12:17:28","2026-02-15 12:17:28","SE3","LOADED","2","2025-12-30 12:17:28",""
"BK382155","TCNU9582727","MSC","SUNNY FREESIA","1805N","VNSGN","CNSHA","2026-01-16 13:10:37","2026-02-12 13:10:37","SE3","CANCELLED","1","2025-12-31 13:10:37",""
"BK157359","TCNU6987313","CMA CGM","MSC ISABELLA","8204N","VNSGN","SGSIN","2026-01-17 12:24:27","2026-02-14 12:24:27","SE3","LOADED","5","2025-12-30 12:24:27",""
"BK970915","TCNU2673408","CMA CGM","SUNNY FREESIA","5603N","VNSGN","VNHPH","2026-01-19 12:01:57","2026-02-18 12:01:57","SE3","LOADED","4","2026-01-11 12:01:57",""
"BK454934","MSCU5724047","CMA CGM","EVER GIVEN","3703N","VNSGN","USLAX","2026-01-17 10:00:20","2026-02-08 10:00:20","FE2","BOOKED","4","2025-12-22 10:00:20",""
"BK300959","PONU6151020","ONE","MSC ISABELLA","1004N","VNSGN","SGSIN","2026-01-24 15:23:03","2026-02-06 15:23:03","SE3","BOOKED","2","2025-12-31 15:23:03",""
"BK928454","PONU8598458","COSCO","KOTA GAYA","3905N","VNSGN","VNHPH","2026-01-16 15:44:59","2026-01-23 15:44:59","FE2","CANCELLED","1","2026-01-04 15:44:59",""
"BK265516","PONU2723886","CMA CGM","MSC ISABELLA","9403N","VNSGN","USLAX","2026-01-04 10:40:44","2026-01-17 10:40:44","SE3","CANCELLED","2","2025-12-07 10:40:44",""
"BK754248","MSCU9676983","MSC","MAERSK HANOI","7401N","VNSGN","SGSIN","2026-01-17 09:40:52","2026-02-03 09:40:52","FE2","CANCELLED","5","2025-12-18 09:40:52",""
"BK765406","HLCU4766618","CMA CGM","MAERSK HANOI","1903N","VNSGN","SGSIN","2025-12-10 13:34:53","2025-12-28 13:34:53","SE3","LOADED","5","2025-11-21 13:34:53",""
"BK304274","HLCU9958790","MAERSK","SUNNY FREESIA","8701N","VNSGN","CNSHA","2025-12-20 13:08:50","2026-01-08 13:08:50","FE2","BOOKED","4","2025-11-21 13:08:50",""
"BK407924","CXDU6633715","COSCO","SUNNY FREESIA","7803N","VNSGN","CNSHA","2026-01-25 15:08:10","2026-02-21 15:08:10","FE2","LOADED","1","2026-01-15 15:08:10",""
"BK335219","PONU1665543","MSC","MAERSK HANOI","2602N","VNSGN","SGSIN","2026-01-06 12:33:47","2026-02-05 12:33:47","TP1","LOADED","1","2025-12-30 12:33:47",""
"BK487600","PONU6964219","COSCO","EVER GIVEN","3303N","VNSGN","VNHPH","2026-01-22 11:17:46","2026-02-09 11:17:46","FE2","LOADED","5","2026-01-06 11:17:46",""
"BK866142","HLCU5712381","MAERSK","MSC ISABELLA","8404N","VNSGN","SGSIN","2026-01-17 08:13:42","2026-01-22 08:13:42","TP1","BOOKED","4","2025-12-30 08:13:42",""
"BK291966","CXDU5753488","ONE","MAERSK HANOI","7501N","VNSGN","VNHPH","2026-01-03 06:51:30","2026-01-14 06:51:30","FE2","LOADED","4","2025-12-14 06:51:30",""
"BK743437","CXDU5437128","CMA CGM","SUNNY FREESIA","5905N","VNSGN","SGSIN","2025-12-11 01:57:23","2026-01-05 01:57:23","SE3","BOOKED","3","2025-12-03 01:57:23",""
"BK324786","TCNU2816995","COSCO","EVER GIVEN","2204N","VNSGN","VNHPH","2026-01-23 16:47:11","2026-02-05 16:47:11","FE2","BOOKED","3","2025-12-28 16:47:11",""
"BK223003","MSCU6827527","MAERSK","KOTA GAYA","5801N","VNSGN","VNHPH","2025-12-21 15:47:09","2026-01-15 15:47:09","SE3","CANCELLED","2","2025-12-01 15:47:09",""
"BK434223","CXDU1189238","CMA CGM","SUNNY FREESIA","4202N","VNSGN","CNSHA","2026-01-25 13:51:53","2026-02-04 13:51:53","SE3","CANCELLED","3","2026-01-18 13:51:53",""
"BK439911","MSCU2093217","CMA CGM","MAERSK HANOI","3703N","VNSGN","CNSHA","2026-01-22 10:03:52","2026-02-11 10:03:52","FE2","LOADED","1","2026-01-01 10:03:52",""
"BK328891","HLCU8202480","COSCO","MAERSK HANOI","4201N","VNSGN","USLAX","2025-12-22 11:58:46","2026-01-07 11:58:46","TP1","CANCELLED","2","2025-12-11 11:58:46",""
"BK450394","PONU1900083","COSCO","SUNNY FREESIA","8604N","VNSGN","VNHPH","2026-01-19 14:32:40","2026-02-17 14:32:40","TP1","CANCELLED","5","2026-01-03 14:32:40",""
"BK926351","PONU1867653","ONE","SUNNY FREESIA","7601N","VNSGN","VNHPH","2025-12-06 14:20:27","2025-12-14 14:20:27","TP1","CANCELLED","1","2025-11-09 14:20:27",""
"BK762133","PONU1258772","CMA CGM","EVER GIVEN","5903N","VNSGN","SGSIN","2025-12-28 21:49:26","2026-01-26 21:49:26","SE3","BOOKED","1","2025-12-21 21:49:26",""
"BK775658","TCNU9630191","MSC","EVER GIVEN","7001N","VNSGN","VNHPH","2026-01-17 18:18:15","2026-02-11 18:18:15","TP1","CANCELLED","5","2026-01-08 18:18:15",""
"BK939318","HLCU9817171","ONE","KOTA GAYA","4201N","VNSGN","VNHPH","2026-01-15 17:27:35","2026-02-01 17:27:35","SE3","BOOKED","1","2025-12-21 17:27:35",""
"BK852015","TCNU5485466","MAERSK","KOTA GAYA","4203N","VNSGN","SGSIN","2026-01-19 10:22:17","2026-02-12 10:22:17","SE3","LOADED","5","2025-12-23 10:22:17",""
"BK833811","PONU7969645","MAERSK","SUNNY FREESIA","5802N","VNSGN","USLAX","2026-01-14 06:21:34","2026-02-07 06:21:34","SE3","BOOKED","4","2025-12-18 06:21:34",""
"BK544741","TCNU2042194","COSCO","EVER GIVEN","6802N","VNSGN","USLAX","2025-12-05 13:23:08","2026-01-01 13:23:08","SE3","BOOKED","4","2025-11-11 13:23:08",""
"BK480671","CXDU4642412","ONE","MAERSK HANOI","5002N","VNSGN","USLAX","2026-01-07 17:37:54","2026-01-18 17:37:54","FE2","LOADED","1","2025-12-13 17:37:54",""
"BK369574","MSCU3579706","ONE","EVER GIVEN","1503N","VNSGN","USLAX","2026-01-18 21:04:57","2026-02-02 21:04:57","TP1","CANCELLED","5","2026-01-03 21:04:57",""
"BK474273","HLCU5072082","CMA CGM","KOTA GAYA","8702N","VNSGN","VNHPH","2025-11-30 11:32:16","2025-12-10 11:32:16","SE3","LOADED","4","2025-11-12 11:32:16",""
"BK254581","HLCU5620289","MAERSK","MAERSK HANOI","8005N","VNSGN","USLAX","2026-01-14 08:41:50","2026-02-07 08:41:50","FE2","BOOKED","3","2025-12-23 08:41:50",""
"BK664010","MSCU3686646","COSCO","KOTA GAYA","1703N","VNSGN","USLAX","2026-01-20 06:25:54","2026-01-25 06:25:54","TP1","CANCELLED","4","2026-01-10 06:25:54",""
"BK739389","TCNU3816017","MSC","EVER GIVEN","7004N","VNSGN","USLAX","2026-01-25 23:13:52","2026-02-21 23:13:52","TP1","CANCELLED","3","2025-12-27 23:13:52",""
"BK204221","TCNU8237368","ONE","EVER GIVEN","9905N","VNSGN","CNSHA","2026-01-10 01:02:15","2026-01-21 01:02:15","FE2","BOOKED","5","2025-12-31 01:02:15",""
"BK201985","CXDU8865769","CMA CGM","MAERSK HANOI","4903N","VNSGN","VNHPH","2026-01-16 18:34:30","2026-02-04 18:34:30","SE3","BOOKED","3","2025-12-27 18:34:30",""
"BK728852","HLCU7780656","ONE","KOTA GAYA","5605N","VNSGN","USLAX","2026-01-16 20:02:41","2026-02-07 20:02:41","FE2","LOADED","4","2026-01-06 20:02:41",""
"BK137924","HLCU5110886","ONE","KOTA GAYA","9405N","VNSGN","VNHPH","2025-12-02 08:21:29","2025-12-14 08:21:29","SE3","LOADED","3","2025-11-13 08:21:29",""
"BK668072","PONU1191912","MSC","KOTA GAYA","5804N","VNSGN","VNHPH","2026-01-20 17:18:17","2026-01-29 17:18:17","SE3","BOOKED","4","2026-01-11 17:18:17",""
"BK293776","MSCU7168628","MAERSK","EVER GIVEN","6804N","VNSGN","CNSHA","2026-01-19 15:19:09","2026-02-13 15:19:09","SE3","BOOKED","2","2026-01-02 15:19:09",""
"BK497640","PONU2628663","MSC","MAERSK HANOI","4401N","VNSGN","VNHPH","2026-01-23 18:05:51","2026-02-22 18:05:51","FE2","CANCELLED","2","2026-01-13 18:05:51",""
"BK885268","TCNU1937302","COSCO","EVER GIVEN","4805N","VNSGN","USLAX","2026-01-15 11:47:12","2026-01-23 11:47:12","FE2","CANCELLED","2","2026-01-08 11:47:12",""
"BK201744","MSCU2049196","MSC","MSC ISABELLA","1904N","VNSGN","SGSIN","2026-01-14 20:27:41","2026-02-05 20:27:41","SE3","LOADED","2","2025-12-21 20:27:41",""
"BK417251","PONU2370762","MSC","SUNNY FREESIA","7101N","VNSGN","CNSHA","2026-01-22 13:03:57","2026-02-01 13:03:57","TP1","LOADED","5","2026-01-05 13:03:57",""
"BK640777","PONU6874554","MAERSK","SUNNY FREESIA","7805N","VNSGN","CNSHA","2026-01-21 16:34:24","2026-02-18 16:34:24","FE2","BOOKED","3","2025-12-28 16:34:24",""
"BK769787","MSCU7528501","COSCO","MAERSK HANOI","5604N","VNSGN","CNSHA","2026-01-21 11:52:58","2026-02-03 11:52:58","FE2","CANCELLED","1","2026-01-09 11:52:58",""
"BK258210","TCNU5256468","MSC","MSC ISABELLA","8003N","VNSGN","USLAX","2026-01-16 16:17:35","2026-02-10 16:17:35","TP1","BOOKED","1","2026-01-03 16:17:35",""
"BK402163","PONU5291383","ONE","MAERSK HANOI","7503N","VNSGN","CNSHA","2026-01-11 09:33:37","2026-01-21 09:33:37","FE2","BOOKED","3","2025-12-18 09:33:37",""
"BK916015","HLCU4489786","COSCO","KOTA GAYA","3001N","VNSGN","SGSIN","2026-01-19 12:51:56","2026-02-10 12:51:56","SE3","CANCELLED","5","2026-01-11 12:51:56",""
"BK870214","MSCU1285475","COSCO","SUNNY FREESIA","3604N","VNSGN","VNHPH","2026-01-16 08:53:46","2026-02-14 08:53:46","TP1","CANCELLED","4","2026-01-06 08:53:46",""
"BK281032","HLCU9213761","MAERSK","MAERSK HANOI","4803N","VNSGN","VNHPH","2025-12-13 17:42:25","2026-01-10 17:42:25","FE2","LOADED","1","2025-11-27 17:42:25",""
"BK914640","HLCU3876098","COSCO","MAERSK HANOI","6902N","VNSGN","SGSIN","2025-12-12 02:48:16","2026-01-03 02:48:16","TP1","BOOKED","2","2025-11-19 02:48:16",""
"BK160740","CXDU8452115","ONE","EVER GIVEN","1605N","VNSGN","USLAX","2026-01-25 11:25:13","2026-02-14 11:25:13","FE2","BOOKED","4","2025-12-31 11:25:13",""
"BK728042","TCNU2142641","MAERSK","KOTA GAYA","1902N","VNSGN","SGSIN","2026-01-14 16:30:52","2026-01-20 16:30:52","FE2","BOOKED","3","2025-12-26 16:30:52",""
"BK123708","TCNU3420390","MSC","KOTA GAYA","1902N","VNSGN","CNSHA","2026-01-22 17:30:28","2026-02-14 17:30:28","SE3","LOADED","2","2025-12-25 17:30:28",""
"BK227859","MSCU5455012","MSC","EVER GIVEN","1603N","VNSGN","SGSIN","2026-01-10 16:21:07","2026-01-18 16:21:07","TP1","CANCELLED","1","2025-12-29 16:21:07",""
"BK524374","TCNU1427950","COSCO","KOTA GAYA","3802N","VNSGN","VNHPH","2026-01-08 17:09:16","2026-02-03 17:09:16","FE2","CANCELLED","2","2025-12-26 17:09:16",""
"BK892512","HLCU1778394","ONE","KOTA GAYA","9801N","VNSGN","SGSIN","2026-01-16 16:48:13","2026-01-23 16:48:13","SE3","BOOKED","1","2026-01-06 16:48:13",""
"BK160024","PONU6730337","COSCO","EVER GIVEN","5001N","VNSGN","USLAX","2026-01-15 13:55:28","2026-01-23 13:55:28","FE2","LOADED","3","2025-12-20 13:55:28",""
"BK786064","HLCU7256955","COSCO","SUNNY FREESIA","2904N","VNSGN","CNSHA","2026-01-16 10:39:21","2026-01-30 10:39:21","FE2","CANCELLED","4","2026-01-07 10:39:21",""
"BK628888","HLCU4793502","CMA CGM","EVER GIVEN","5005N","VNSGN","VNHPH","2026-01-22 08:41:42","2026-01-31 08:41:42","TP1","LOADED","1","2026-01-07 08:41:42",""
"BK291608","CXDU3474556","COSCO","KOTA GAYA","9205N","VNSGN","USLAX","2026-01-20 12:17:38","2026-02-05 12:17:38","SE3","CANCELLED","3","2026-01-08 12:17:38",""
"BK337723","PONU7084302","CMA CGM","SUNNY FREESIA","5803N","VNSGN","SGSIN","2026-01-22 16:10:04","2026-01-28 16:10:04","TP1","LOADED","1","2026-01-14 16:10:04",""
"BK451853","CXDU5313920","COSCO","MAERSK HANOI","4103N","VNSGN","CNSHA","2026-01-05 23:53:02","2026-01-11 23:53:02","SE3","BOOKED","3","2025-12-24 23:53:02",""
"BK938143","TCNU8227582","MAERSK","KOTA GAYA","6905N","VNSGN","CNSHA","2026-01-18 11:58:46","2026-02-05 11:58:46","SE3","CANCELLED","1","2025-12-25 11:58:46",""
"BK503036","HLCU3669523","MAERSK","EVER GIVEN","4302N","VNSGN","SGSIN","2025-12-08 14:02:28","2025-12-28 14:02:28","FE2","CANCELLED","3","2025-11-15 14:02:28",""
"BK442086","PONU6527615","CMA CGM","MAERSK HANOI","3405N","VNSGN","VNHPH","2026-01-15 15:39:03","2026-02-12 15:39:03","FE2","CANCELLED","1","2026-01-03 15:39:03",""
"BK411472","MSCU6879674","COSCO","SUNNY FREESIA","4802N","VNSGN","SGSIN","2026-01-23 08:04:49","2026-02-10 08:04:49","SE3","LOADED","3","2026-01-15 08:04:49",""
"BK749541","HLCU3001179","ONE","KOTA GAYA","4501N","VNSGN","SGSIN","2026-01-22 12:10:47","2026-02-20 12:10:47","SE3","CANCELLED","1","2026-01-07 12:10:47",""
"BK323387","PONU3407731","ONE","KOTA GAYA","6401N","VNSGN","VNHPH","2026-01-19 05:00:33","2026-01-29 05:00:33","FE2","CANCELLED","3","2026-01-06 05:00:33",""
"BK178826","CXDU1019840","MSC","SUNNY FREESIA","8901N","VNSGN","CNSHA","2026-01-25 14:41:29","2026-01-31 14:41:29","SE3","CANCELLED","3","2025-12-31 14:41:29",""
"BK613246","MSCU1287940","MSC","MSC ISABELLA","3101N","VNSGN","USLAX","2026-01-25 09:06:51","2026-02-10 09:06:51","FE2","LOADED","2","2026-01-17 09:06:51",""
"BK379661","PONU1610866","ONE","MSC ISABELLA","9701N","VNSGN","VNHPH","2026-01-19 04:12:24","2026-02-09 04:12:24","SE3","CANCELLED","5","2025-12-25 04:12:24",""
"BK487801","PONU8711476","MSC","SUNNY FREESIA","6101N","VNSGN","CNSHA","2026-01-16 09:57:49","2026-02-10 09:57:49","SE3","BOOKED","4","2025-12-21 09:57:49",""
"BK251116","HLCU9365841","MAERSK","MSC ISABELLA","8204N","VNSGN","SGSIN","2026-01-24 17:24:04","2026-02-01 17:24:04","FE2","LOADED","4","2025-12-31 17:24:04",""
"BK117956","PONU4962275","ONE","MAERSK HANOI","1101N","VNSGN","SGSIN","2026-01-18 02:36:24","2026-01-26 02:36:24","FE2","LOADED","4","2026-01-08 02:36:24",""
"BK485366","CXDU9758049","CMA CGM","MAERSK HANOI","7903N","VNSGN","USLAX","2026-01-23 11:35:42","2026-02-02 11:35:42","FE2","BOOKED","4","2026-01-03 11:35:42",""
"BK272319","MSCU6439980","MSC","MAERSK HANOI","5703N","VNSGN","VNHPH","2026-01-19 18:44:01","2026-02-17 18:44:01","SE3","CANCELLED","3","2025-12-24 18:44:01",""
"BK245759","MSCU4801343","COSCO","EVER GIVEN","2103N","VNSGN","VNHPH","2026-01-18 17:36:33","2026-01-24 17:36:33","SE3","BOOKED","1","2026-01-03 17:36:33",""
"BK198457","PONU2116885","MAERSK","MSC ISABELLA","1605N","VNSGN","SGSIN","2025-12-27 09:33:25","2026-01-07 09:33:25","SE3","LOADED","5","2025-12-06 09:33:25",""
"BK508076","CXDU4658842","COSCO","MSC ISABELLA","5202N","VNSGN","CNSHA","2026-01-22 14:06:12","2026-02-10 14:06:12","FE2","LOADED","3","2026-01-10 14:06:12",""
"BK190298","TCNU3706578","MAERSK","MAERSK HANOI","5501N","VNSGN","USLAX","2026-01-16 03:13:13","2026-01-30 03:13:13","TP1","LOADED","4","2025-12-24 03:13:13",""
