event_time,container_no_raw,size_raw,location_raw,note_raw,stage,source_file,source_row
2026-01-02T21:57:00.000000,MSCU4160928,20,CT01-Yard-A,Floor broken,COMPLETED,mnr_system_dump.xlsx,36
2025-12-27T02:38:00.000000,TCNU5854824,45,CT01-A-12-1,,ESTIMATE,mnr_system_dump.xlsx,15122
2025-12-27T02:38:00.000000,TCNU5854824,40,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,37
2026-01-08T03:43:00.000000,HLCU3179144,40,CT03-A-01-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,38
2025-12-31T10:04:00.000000,HLCU3179144,20,CT02-C-20-4,Floor broken,COMPLETED,mnr_system_dump.xlsx,6552
2026-01-22T02:36:00.000000,PONU3310948,45,CT04-Terminal,Floor broken,ESTIMATE,mnr_system_dump.xlsx,41
2026-01-22T02:37:00.000000,PONU3310948,45,CT02-Yard-B,,COMPLETED,mnr_system_dump.xlsx,18958
2026-01-21T06:22:00.000000,PONU5344749,20,CT01-A-12-1,,AUTHORIZATION,mnr_system_dump.xlsx,43
2025-12-30T16:55:32.045821,HLCU8547684,40,CT01-B-05-2,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,45
2026-01-03T22:16:00.000000,HLCU8547684,20,CT02-C-20-4,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,19995
2026-01-01T07:17:47.175794,HLCU8547684,20,CT01-B-05-2,Floor broken,COMPLETED,mnr_system_dump.xlsx,17150
2026-01-16T10:45:00.000000,TCNU6862436,40,CT01-B-05-2,,ESTIMATE,mnr_system_dump.xlsx,46
2026-01-17T11:06:00.000000,TCNU6862436,45,CT04-B-10-3,Floor broken,COMPLETED,mnr_system_dump.xlsx,6805
2026-01-15T23:05:00.000000,PONU9013535,20,CT02-Yard-B,,ESTIMATE,mnr_system_dump.xlsx,47
2026-01-07T22:06:00.000000,PONU9013535,40,CT01-Yard-A,,COMPLETED,mnr_system_dump.xlsx,14425
2026-01-21T03:25:00.000000,CXDU7887583,45,CT03-Depot,,ESTIMATE,mnr_system_dump.xlsx,49
2026-01-21T10:00:29.568892,CXDU7887583,20,CT01-B-05-2,Door hinge loose,AUTHORIZATION,mnr_system_dump.xlsx,5248
2026-01-21T17:59:01.724429,CXDU7887583,20,CT03-A-01-1,Door hinge loose,REPAIRED,mnr_system_dump.xlsx,336
2026-01-22T20:21:00.000000,CXDU7887583,45,CT02-Yard-B,Dent on panel,COMPLETED,mnr_system_dump.xlsx,7545
2026-01-15T22:59:00.000000,TCNU9231596,40,CT01-Yard-A,,ESTIMATE,mnr_system_dump.xlsx,50
2026-01-22T16:37:00.000000,TCNU9231596,45,CT01-A-12-1,,COMPLETED,mnr_system_dump.xlsx,16266
2026-01-15T10:27:00.000000,MSCU2259016,20,CT01-B-05-2,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,6372
2026-01-14T10:49:00.000000,MSCU2259016,20,CT01-Yard-A,Floor broken,COMPLETED,mnr_system_dump.xlsx,51
2026-01-23T11:40:00.000000,PONU5786527,45,CT01-Yard-A,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,17295
2026-01-23T11:39:00.000000,PONU5786527,20,CT04-B-10-3,Dent on panel,COMPLETED,mnr_system_dump.xlsx,54
2026-01-05T22:23:00.000000,CXDU1089065,45,CT01-A-12-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,57
2026-01-06T23:21:00.000000,CXDU1089065,20,CT01-Yard-A,Dent on panel,COMPLETED,mnr_system_dump.xlsx,3392
2026-01-18T06:34:00.000000,TCNU3543125,45,CT02-Yard-B,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,58
2026-01-20T13:55:00.000000,TCNU8509221,20,CT02-Yard-B,,ESTIMATE,mnr_system_dump.xlsx,59
2026-01-21T12:01:00.000000,TCNU8509221,20,CT03-Depot,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,11120
2025-12-25T21:45:00.000000,HLCU9904101,20,CT04-B-10-3,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,60
2026-01-03T00:59:00.000000,TCNU1938559,20,CT03-Depot,,ESTIMATE,mnr_system_dump.xlsx,14685
2025-12-30T22:22:00.000000,TCNU1938559,20,CT01-Yard-A,Dent on panel,COMPLETED,mnr_system_dump.xlsx,61
2026-01-12T10:29:00.000000,TCNU1940923,20,CT01-A-12-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,11410
2025-12-14T08:54:00.000000,TCNU1940923,40,CT01-B-05-2,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,62
2026-01-19T14:45:55.206636,MSCU3140569,20,CT02-C-20-4,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,2166
2026-01-19T23:46:00.000000,MSCU3140569,40,CT01-Yard-A,,AUTHORIZATION,mnr_system_dump.xlsx,14701
2026-01-19T20:35:17.608695,MSCU3140569,40,CT04-B-10-3,Dent on panel,REPAIRED,mnr_system_dump.xlsx,63
2026-01-18T21:11:00.000000,MSCU3140569,40,CT03-Depot,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,19473
2026-01-04T00:22:00.000000,TCNU9597892,20,CT02-Yard-B,,COMPLETED,mnr_system_dump.xlsx,64
2026-01-01T21:52:00.000000,CXDU9302448,40,CT02-Yard-B,Dent on panel,REPAIRED,mnr_system_dump.xlsx,66
2026-01-03T06:06:00.000000,PONU7880474,40,CT01-B-05-2,Door hinge loose,AUTHORIZATION,mnr_system_dump.xlsx,68
2025-12-19T17:17:00.000000,CXDU4469002,40,CT03-Depot,,ESTIMATE,mnr_system_dump.xlsx,16750
2025-12-15T12:13:00.000000,CXDU4469002,20,CT02-Yard-B,Floor broken,APPROVAL,mnr_system_dump.xlsx,19746
2025-12-16T21:42:10.438499,CXDU4469002,20,CT02-Yard-B,,COMPLETED,mnr_system_dump.xlsx,69
2026-01-04T04:15:10.695672,TCNU6224041,45,CT03-A-01-1,,ESTIMATE,mnr_system_dump.xlsx,20593
2026-01-04T03:16:51.165334,TCNU6224041,45,CT02-C-20-4,Dent on panel,AUTHORIZATION,mnr_system_dump.xlsx,4108
2026-01-05T06:24:00.000000,TCNU6224041,20,CT04-B-10-3,,REPAIRED,mnr_system_dump.xlsx,72
2026-01-05T06:24:00.000000,TCNU6224041,20,CT02-Yard-B,,COMPLETED,mnr_system_dump.xlsx,3407
2026-01-20T08:05:00.000000,MSCU5715773,40,CT04-B-10-3,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,73
2026-01-21T02:16:00.000000,TCNU3171156,45,CT02-Yard-B,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,14764
2026-01-21T02:16:00.000000,TCNU3171156,40,CT01-A-12-1,Floor broken,APPROVAL,mnr_system_dump.xlsx,14796
2026-01-18T03:13:38.250486,TCNU3171156,20,CT01-Yard-A,,COMPLETED,mnr_system_dump.xlsx,74
2026-01-14T18:55:00.000000,TCNU3367822,40,CT01-B-05-2,Floor broken,ESTIMATE,mnr_system_dump.xlsx,76
2026-01-20T12:52:48.099793,TCNU3367822,20,CT02-C-20-4,,AUTHORIZATION,mnr_system_dump.xlsx,455
2026-01-25T21:28:00.000000,TCNU3367822,45,CT03-A-01-1,Floor broken,REPAIRED,mnr_system_dump.xlsx,5848
2026-01-21T20:25:59.829997,TCNU3367822,45,CT04-Terminal,,COMPLETED,mnr_system_dump.xlsx,3815
2026-01-16T12:47:00.000000,MSCU6412763,20,CT04-Terminal,,ESTIMATE,mnr_system_dump.xlsx,79
2026-01-17T11:19:00.000000,MSCU6412763,20,CT04-B-10-3,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,14696
2026-01-13T05:02:00.000000,TCNU8213740,45,CT02-C-20-4,,ESTIMATE,mnr_system_dump.xlsx,18368
2026-01-13T05:01:00.000000,TCNU8213740,40,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,80
2026-01-07T07:14:00.000000,TCNU4858995,40,CT01-A-12-1,Floor broken,ESTIMATE,mnr_system_dump.xlsx,81
2026-01-05T14:03:00.000000,TCNU4858995,20,CT02-Yard-B,,APPROVAL,mnr_system_dump.xlsx,21667
2026-01-06T13:58:42.416687,TCNU4858995,45,CT03-Depot,,COMPLETED,mnr_system_dump.xlsx,9956
2026-01-05T01:54:00.000000,MSCU3693488,20,CT03-Depot,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,84
2026-01-01T07:25:00.000000,MSCU3693488,40,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,14776
2026-01-09T05:45:11.661818,MSCU8343960,45,CT01-Yard-A,Floor broken,ESTIMATE,mnr_system_dump.xlsx,18850
2026-01-02T00:04:00.000000,MSCU8343960,40,CT04-Terminal,Floor broken,APPROVAL,mnr_system_dump.xlsx,85
2026-01-12T22:18:00.000000,MSCU8343960,20,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,20297
2026-01-17T20:06:00.000000,CXDU6496933,45,CT01-A-12-1,Dent on panel,APPROVAL,mnr_system_dump.xlsx,86
2026-01-13T14:45:00.000000,TCNU3256724,20,CT01-Yard-A,Dent on panel,AUTHORIZATION,mnr_system_dump.xlsx,87
2026-01-04T23:42:00.000000,PONU9957359,20,CT02-Yard-B,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,8309
2025-12-20T11:48:00.000000,PONU9957359,45,CT02-C-20-4,,COMPLETED,mnr_system_dump.xlsx,88
2026-01-09T01:40:00.000000,CXDU1503768,45,CT01-B-05-2,,ESTIMATE,mnr_system_dump.xlsx,14579
2026-01-09T01:40:00.000000,CXDU1503768,20,CT04-B-10-3,,APPROVAL,mnr_system_dump.xlsx,90
2026-01-05T16:43:15.256660,CXDU1503768,45,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,1329
2026-01-10T04:43:19.306797,PONU7853094,20,CT04-B-10-3,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,92
2026-01-10T20:41:31.491684,PONU7853094,45,CT04-B-10-3,Floor broken,AUTHORIZATION,mnr_system_dump.xlsx,16850
2026-01-12T07:42:00.000000,PONU7853094,45,CT04-B-10-3,,REPAIRED,mnr_system_dump.xlsx,10104
2026-01-11T20:01:00.809190,PONU7853094,45,CT02-Yard-B,Dent on panel,COMPLETED,mnr_system_dump.xlsx,17102
2026-01-02T05:11:00.000000,HLCU4808558,20,CT04-B-10-3,Floor broken,ESTIMATE,mnr_system_dump.xlsx,14052
2026-01-13T18:22:00.000000,HLCU4808558,20,CT02-Yard-B,,COMPLETED,mnr_system_dump.xlsx,93
2026-01-23T17:27:00.000000,MSCU8383601,20,CT01-B-05-2,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,94
2026-01-23T17:27:00.000000,MSCU8383601,45,CT01-B-05-2,Floor broken,APPROVAL,mnr_system_dump.xlsx,21447
2026-01-20T07:56:00.000000,MSCU8383601,45,CT01-B-05-2,Floor broken,COMPLETED,mnr_system_dump.xlsx,21166
2026-01-22T11:33:00.000000,TCNU2043583,20,CT02-C-20-4,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,96
2026-01-22T11:33:00.000000,TCNU2043583,45,CT01-B-05-2,,COMPLETED,mnr_system_dump.xlsx,11770
2026-01-18T21:51:00.000000,PONU3839067,40,CT02-C-20-4,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,97
2025-12-26T07:13:00.000000,HLCU1657412,20,CT01-Yard-A,Floor broken,AUTHORIZATION,mnr_system_dump.xlsx,99
2026-01-06T04:41:00.000000,TCNU2560995,45,CT03-A-01-1,,ESTIMATE,mnr_system_dump.xlsx,11237
2025-12-24T07:21:00.000000,TCNU2560995,20,CT02-C-20-4,,COMPLETED,mnr_system_dump.xlsx,101
2026-01-12T11:53:00.000000,MSCU5887071,20,CT04-B-10-3,,ESTIMATE,mnr_system_dump.xlsx,102
2025-12-28T19:29:00.000000,MSCU5887071,40,CT01-A-12-1,,COMPLETED,mnr_system_dump.xlsx,17562
2026-01-08T05:03:34.026202,HLCU6016905,45,CT02-Yard-B,,ESTIMATE,mnr_system_dump.xlsx,21560
2026-01-05T11:32:06.941699,HLCU6016905,40,CT01-Yard-A,Floor broken,APPROVAL,mnr_system_dump.xlsx,103
2026-01-09T23:07:00.000000,HLCU6016905,20,CT01-A-12-1,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,14330
2026-01-25T08:48:00.000000,PONU6963562,45,CT02-Yard-B,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,105
2026-01-23T05:43:44.170436,PONU6963562,40,CT04-B-10-3,,APPROVAL,mnr_system_dump.xlsx,15171
2026-01-25T08:48:00.000000,PONU6963562,20,CT04-Terminal,,COMPLETED,mnr_system_dump.xlsx,20081
2026-01-05T16:46:00.000000,PONU6451316,20,CT03-Depot,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,20517
2026-01-15T16:07:00.000000,PONU6451316,20,CT01-Yard-A,,COMPLETED,mnr_system_dump.xlsx,106
2026-01-22T00:14:48.129116,PONU9657569,20,CT04-Terminal,Floor broken,ESTIMATE,mnr_system_dump.xlsx,2819
2026-01-22T03:12:00.000000,PONU9657569,40,CT03-Depot,,AUTHORIZATION,mnr_system_dump.xlsx,10504
2026-01-22T03:12:00.000000,PONU9657569,45,CT02-Yard-B,Door hinge loose,REPAIRED,mnr_system_dump.xlsx,13562
2026-01-21T14:25:01.068595,PONU9657569,20,CT03-Depot,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,110
2026-01-02T07:35:00.000000,CXDU1284009,45,CT04-Terminal,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,111
2026-01-12T13:50:00.000000,PONU4226512,20,CT04-B-10-3,Floor broken,AUTHORIZATION,mnr_system_dump.xlsx,112
2025-12-22T19:05:00.000000,TCNU4437299,20,CT04-Terminal,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,114
2026-01-13T20:17:00.000000,TCNU4437299,20,CT03-Depot,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,11368
2026-01-11T19:53:00.000000,MSCU3750050,40,CT03-Depot,Dent on panel,AUTHORIZATION,mnr_system_dump.xlsx,115
2025-12-28T01:09:00.000000,CXDU6767060,20,CT04-B-10-3,Floor broken,REPAIRED,mnr_system_dump.xlsx,117
2026-01-01T13:26:12.286992,MSCU9004487,20,CT02-C-20-4,Floor broken,ESTIMATE,mnr_system_dump.xlsx,5554
2026-01-01T21:23:00.000000,MSCU9004487,45,CT03-A-01-1,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,118
2025-12-31T20:40:00.000000,MSCU9004487,20,CT01-A-12-1,,COMPLETED,mnr_system_dump.xlsx,13183
2026-01-14T03:24:36.937310,CXDU1334394,45,CT04-Terminal,Floor broken,ESTIMATE,mnr_system_dump.xlsx,15469
2026-01-16T00:42:00.000000,CXDU1334394,40,CT02-C-20-4,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,17774
2026-01-16T00:42:00.000000,CXDU1334394,45,CT03-A-01-1,Dent on panel,COMPLETED,mnr_system_dump.xlsx,120
2026-01-04T13:53:00.000000,PONU2091453,45,CT04-Terminal,,ESTIMATE,mnr_system_dump.xlsx,122
2026-01-07T18:56:00.000000,PONU2091453,40,CT03-Depot,Floor broken,COMPLETED,mnr_system_dump.xlsx,13626
2026-01-07T10:34:00.000000,HLCU7843183,40,CT04-B-10-3,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,124
2026-01-05T14:19:00.000000,HLCU7843183,20,CT02-C-20-4,,COMPLETED,mnr_system_dump.xlsx,8677
2026-01-22T04:19:00.000000,PONU5343509,40,CT01-Yard-A,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,125
2026-01-22T04:19:00.000000,PONU5343509,20,CT03-A-01-1,,COMPLETED,mnr_system_dump.xlsx,14379
2025-12-25T12:06:40.210249,PONU9658486,20,CT04-B-10-3,Floor broken,ESTIMATE,mnr_system_dump.xlsx,126
2025-12-31T02:42:00.000000,PONU9658486,20,CT04-Terminal,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,6348
2025-12-31T02:42:00.000000,PONU9658486,20,CT01-Yard-A,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,15782
2026-01-21T21:58:24.252984,HLCU7101713,40,CT01-B-05-2,Floor broken,ESTIMATE,mnr_system_dump.xlsx,3334
2026-01-22T01:05:03.401097,HLCU7101713,40,CT03-A-01-1,Dent on panel,AUTHORIZATION,mnr_system_dump.xlsx,127
2026-01-21T23:31:59.435603,HLCU7101713,40,CT02-C-20-4,Floor broken,REPAIRED,mnr_system_dump.xlsx,3469
2026-01-22T12:39:00.000000,HLCU7101713,20,CT03-A-01-1,Dent on panel,COMPLETED,mnr_system_dump.xlsx,7729
2026-01-07T18:58:00.000000,HLCU1283850,20,CT03-A-01-1,,ESTIMATE,mnr_system_dump.xlsx,128
2026-01-06T06:14:00.000000,HLCU1283850,20,CT03-A-01-1,,APPROVAL,mnr_system_dump.xlsx,16693
2026-01-07T17:03:29.073492,HLCU1283850,45,CT04-B-10-3,,COMPLETED,mnr_system_dump.xlsx,8937
2026-01-22T13:20:00.000000,CXDU9542610,45,CT01-B-05-2,,ESTIMATE,mnr_system_dump.xlsx,129
2026-01-22T13:19:00.000000,CXDU9542610,20,CT01-A-12-1,Dent on panel,COMPLETED,mnr_system_dump.xlsx,8140
2026-01-21T11:26:00.000000,MSCU9308515,20,CT04-B-10-3,Floor broken,ESTIMATE,mnr_system_dump.xlsx,20847
2026-01-21T11:26:00.000000,MSCU9308515,20,CT01-B-05-2,Dent on panel,COMPLETED,mnr_system_dump.xlsx,130
2026-01-22T02:36:00.000000,TCNU9563377,20,CT04-Terminal,,ESTIMATE,mnr_system_dump.xlsx,131
2026-01-15T10:28:00.000000,TCNU9563377,45,CT01-Yard-A,Door hinge loose,APPROVAL,mnr_system_dump.xlsx,11643
2026-01-20T17:23:16.924588,TCNU9563377,40,CT01-B-05-2,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,15216
2026-01-01T08:50:00.000000,TCNU1853323,20,CT01-A-12-1,Door hinge loose,ESTIMATE,mnr_system_dump.xlsx,132
2026-01-01T08:50:00.000000,TCNU1853323,40,CT02-C-20-4,Dent on panel,COMPLETED,mnr_system_dump.xlsx,8995
2026-01-04T20:47:00.000000,PONU7884270,45,CT04-Terminal,Floor broken,ESTIMATE,mnr_system_dump.xlsx,133
2025-12-12T07:34:00.000000,PONU7884270,20,CT03-Depot,Floor broken,COMPLETED,mnr_system_dump.xlsx,19389
2025-12-20T21:13:00.000000,TCNU9923151,40,CT04-Terminal,Dent on panel,ESTIMATE,mnr_system_dump.xlsx,14432
2025-12-15T17:20:00.000000,TCNU9923151,20,CT02-C-20-4,Door hinge loose,COMPLETED,mnr_system_dump.xlsx,134
2025-12-31T04:02:18.959655,CXDU7282793,20,CT03-Depot,,ESTIMATE,mnr_system_dump.xlsx,14149
2025-12-16T11:13:00.000000,CXDU7282793,45,CT02-Yard-B,Door hinge loose,AUTHORIZATION,mnr_system_dump.xlsx,135
